Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.05030380189418793,0.2242850959300995,0.1427113264799118,0.7909361720085144
MSE,2,24,0.04969227313995361,0.22291763126850128,0.1400560736656189,0.7861139178276062
MSE,1,96,0.07380359619855881,0.2716681659221649,0.18987499177455902,0.9611194729804993
MSE,2,96,0.07649966329336166,0.27658572793006897,0.19428807497024536,0.9785170555114746
MSE,1,168,0.08629170805215836,0.2937544882297516,0.2106221318244934,1.0409144163131714
MSE,2,168,0.06709600985050201,0.25902897119522095,0.18583549559116364,0.917864978313446
RMSE,1,24,0.04896596074104309,0.22128254175186157,0.14034901559352875,0.7803477644920349
RMSE,2,24,0.04910042881965637,0.2215861678123474,0.13834482431411743,0.78141850233078
RMSE,1,96,0.06937795132398605,0.2633969485759735,0.18275697529315948,0.9318572282791138
RMSE,2,96,0.07593496888875961,0.27556300163269043,0.19298534095287323,0.9748988747596741
RMSE,1,168,0.08343031257390976,0.2888430655002594,0.20613108575344086,1.0235108137130737
RMSE,2,168,0.06560055166482925,0.2561260461807251,0.18409141898155212,0.9075785279273987
MAE,1,24,0.05152120813727379,0.22698283195495605,0.14175660908222198,0.8004497289657593
MAE,2,24,0.049480877816677094,0.22244296967983246,0.13551434874534607,0.7844399809837341
MAE,1,96,0.0748060792684555,0.2735069990158081,0.18794004619121552,0.9676250219345093
MAE,2,96,0.08098553866147995,0.2845795750617981,0.19587472081184387,1.0067980289459229
MAE,1,168,0.08583909273147583,0.2929830849170685,0.20661520957946777,1.0381808280944824
MAE,2,168,0.0709955170750618,0.26644983887672424,0.18616598844528198,0.9441606998443604
