Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.22030074894428253,0.4693620800971985,0.2934994399547577,0.4298593997955322
MSE,2,24,0.21708616614341736,0.46592506766319275,0.28623270988464355,0.42671167850494385
MSE,1,96,0.37084266543388367,0.6089684963226318,0.40437051653862,0.557574450969696
MSE,2,96,0.3623674511909485,0.6019696593284607,0.40077000856399536,0.5511662364006042
MSE,1,168,0.42409995198249817,0.6512295603752136,0.4370887279510498,0.5964465141296387
MSE,2,168,0.3812984824180603,0.6174936890602112,0.42579272389411926,0.5655485987663269
MAE,1,24,0.2122817486524582,0.46074044704437256,0.2702677845954895,0.4219633936882019
MAE,2,24,0.21430844068527222,0.46293458342552185,0.26991504430770874,0.42397287487983704
MAE,1,96,0.3860393762588501,0.6213206648826599,0.37681102752685547,0.5688841342926025
MAE,2,96,0.39962294697761536,0.6321573853492737,0.39198100566864014,0.5788062214851379
MAE,1,168,0.4348284602165222,0.6594152450561523,0.42385366559028625,0.6039435863494873
MAE,2,168,0.45692309737205505,0.675960898399353,0.4327623248100281,0.6190972924232483
