Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.22933387756347656,0.4788881540298462,0.3071345090866089,0.4385837912559509
MSE,2,24,0.2293320894241333,0.47888630628585815,0.3048325479030609,0.43858206272125244
MSE,1,96,0.38296183943748474,0.6188390851020813,0.410003662109375,0.5666120052337646
MSE,2,96,0.3659231960773468,0.6049158573150635,0.406237930059433,0.5538637638092041
MSE,1,168,0.4002043604850769,0.6326170563697815,0.43345174193382263,0.5793997645378113
MSE,2,168,0.4175257086753845,0.6461622714996338,0.4400014877319336,0.5918055176734924
MAE,1,24,0.23617036640644073,0.48597362637519836,0.2798229455947876,0.44507288932800293
MAE,2,24,0.24686580896377563,0.4968559145927429,0.28736209869384766,0.4550393223762512
MAE,1,96,0.39344221353530884,0.6272497177124023,0.39856094121932983,0.5743128061294556
MAE,2,96,0.3954135477542877,0.6288191676139832,0.39091774821281433,0.5757498145103455
MAE,1,168,0.4413832128047943,0.6643667817115784,0.4195317327976227,0.6084785461425781
MAE,2,168,0.44157662987709045,0.6645123362541199,0.4240509569644928,0.6086118817329407
