Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.10002385079860687,0.3162654638290405,0.19335344433784485,0.3993486762046814
MSE,2,24,0.09819940477609634,0.3133678436279297,0.19801004230976105,0.39568981528282166
MSE,1,96,0.16490043699741364,0.40607935190200806,0.26791679859161377,0.5121438503265381
MSE,2,96,0.1699843406677246,0.41229158639907837,0.2785334587097168,0.5199787020683289
MSE,1,168,0.19100810587406158,0.43704473972320557,0.2906225919723511,0.5505934953689575
MSE,2,168,0.18572181463241577,0.43095454573631287,0.2877998948097229,0.5429210066795349
RMSE,1,24,0.10121527314186096,0.31814348697662354,0.1955755352973938,0.4017200171947479
RMSE,2,24,0.09998292475938797,0.31620076298713684,0.1991349756717682,0.3992669880390167
RMSE,1,96,0.1658245027065277,0.40721553564071655,0.26516279578208923,0.513576865196228
RMSE,2,96,0.16867855191230774,0.41070494055747986,0.26371267437934875,0.5179775953292847
RMSE,1,168,0.1943083256483078,0.4408041834831238,0.29183581471443176,0.5553297400474548
RMSE,2,168,0.1740160584449768,0.4171523153781891,0.2821454405784607,0.5255328416824341
MAE,1,24,0.09913782775402069,0.31486159563064575,0.1829637587070465,0.3975760042667389
MAE,2,24,0.10783817619085312,0.32838723063468933,0.18776381015777588,0.41465485095977783
MAE,1,96,0.19483530521392822,0.44140151143074036,0.2628290355205536,0.5566918849945068
MAE,2,96,0.17835581302642822,0.42232194542884827,0.25708287954330444,0.5326288938522339
MAE,1,168,0.1986117660999298,0.445658802986145,0.2743431031703949,0.5614455938339233
MAE,2,168,0.20644119381904602,0.4543580114841461,0.27873149514198303,0.5724049806594849
