Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.5247083902359009,0.7243675589561462,0.5114242434501648,0.5732911825180054
MSE,2,24,0.533747136592865,0.7305799722671509,0.47780337929725647,0.5782079696655273
MSE,1,96,0.8677544593811035,0.9315333962440491,0.6915313601493835,0.7388207912445068
MSE,2,96,0.9062726497650146,0.9519835114479065,0.6853876113891602,0.7550402879714966
MSE,1,168,0.9472817778587341,0.9732840061187744,0.7124764323234558,0.7710132598876953
MSE,2,168,1.0134246349334717,1.0066899061203003,0.741763174533844,0.7974767088890076
MAE,1,24,0.5389456748962402,0.7341291904449463,0.47187572717666626,0.5810168385505676
MAE,2,24,0.5458264946937561,0.7388007044792175,0.47608011960983276,0.5847140550613403
MAE,1,96,0.9010437726974487,0.9492332339286804,0.6440913081169128,0.7528589963912964
MAE,2,96,1.0009963512420654,1.0004980564117432,0.6779704689979553,0.7935182452201843
MAE,1,168,0.9855568408966064,0.9927521347999573,0.709299623966217,0.7864354848861694
MAE,2,168,1.0407408475875854,1.0201671123504639,0.7039265036582947,0.8081529140472412
