Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.02238522097468376,0.14961691200733185,0.0998699814081192,0.5283762216567993
MSE,2,24,0.022110383957624435,0.14869560301303864,0.09895088523626328,0.5251225829124451
MSE,1,96,0.041615840047597885,0.2039996087551117,0.14690826833248138,0.7224038243293762
MSE,2,96,0.041922442615032196,0.2047497034072876,0.14136722683906555,0.7250601053237915
MSE,1,168,0.04194251820445061,0.20479872822761536,0.14613044261932373,0.7255402207374573
MSE,2,168,0.042809925973415375,0.20690560340881348,0.14824068546295166,0.7330042123794556
MAE,1,24,0.02192538231611252,0.14807221293449402,0.09495460242033005,0.522921085357666
MAE,2,24,0.022367699071764946,0.14955835044384003,0.09675690531730652,0.5281693935394287
MAE,1,96,0.045397039502859116,0.21306580305099487,0.14210247993469238,0.7545090913772583
MAE,2,96,0.04406126216053963,0.20990774035453796,0.13983353972434998,0.7433257699012756
MAE,1,168,0.04394709691405296,0.2096356302499771,0.14478307962417603,0.7426759004592896
MAE,2,168,0.04477142170071602,0.21159258484840393,0.14479929208755493,0.7496087551116943
