Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.02496965043246746,0.15801787376403809,0.10408886522054672,0.55804443359375
MSE,2,24,0.022877730429172516,0.1512538641691208,0.10139743983745575,0.5341570973396301
MSE,1,96,0.041615840047597885,0.2039996087551117,0.14690826833248138,0.7224038243293762
MSE,2,96,0.041922442615032196,0.2047497034072876,0.14136722683906555,0.7250601053237915
MSE,1,168,0.04194251820445061,0.20479872822761536,0.14613044261932373,0.7255402207374573
MSE,2,168,0.042809925973415375,0.20690560340881348,0.14824068546295166,0.7330042123794556
RMSE,1,24,0.025140458717942238,0.15855742990970612,0.10656960308551788,0.5599498748779297
RMSE,2,24,0.022993577644228935,0.15163633227348328,0.10003083199262619,0.53550785779953
RMSE,1,96,0.04103325307369232,0.20256666839122772,0.1448090672492981,0.7173295021057129
RMSE,2,96,0.04188527911901474,0.20465894043445587,0.1424560695886612,0.7247387170791626
RMSE,1,168,0.041561320424079895,0.2038659304380417,0.14510895311832428,0.7222356200218201
RMSE,2,168,0.04315508157014847,0.2077380120754242,0.1485593318939209,0.7359532117843628
MAE,1,24,0.02428990602493286,0.15585219860076904,0.10028143227100372,0.5503962635993958
MAE,2,24,0.049023713916540146,0.2214130014181137,0.1361154168844223,0.7819259762763977
MAE,1,96,0.045397039502859116,0.21306580305099487,0.14210247993469238,0.7545090913772583
MAE,2,96,0.04406126216053963,0.20990774035453796,0.13983353972434998,0.7433257699012756
MAE,1,168,0.04394709691405296,0.2096356302499771,0.14478307962417603,0.7426759004592896
MAE,2,168,0.04477142170071602,0.21159258484840393,0.14479929208755493,0.7496087551116943
