Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.010717766359448433,0.10352664440870285,0.06321258097887039,0.391234427690506
MSE,2,24,0.010888392105698586,0.10434745997190475,0.06476157903671265,0.3943363130092621
MSE,1,96,0.018819740042090416,0.13718505203723907,0.08882778137922287,0.518711507320404
MSE,2,96,0.018441960215568542,0.13580118119716644,0.08805994689464569,0.5134788751602173
MSE,1,168,0.020197875797748566,0.14211922883987427,0.09424823522567749,0.5377394556999207
MSE,2,168,0.020525574684143066,0.14326749742031097,0.09577973932027817,0.5420841574668884
RMSE,1,24,0.010888553224503994,0.10434822738170624,0.0634869635105133,0.39433926343917847
RMSE,2,24,0.011233567260205746,0.1059885248541832,0.06507769227027893,0.40053799748420715
RMSE,1,96,0.01876760646700859,0.13699491322040558,0.08846016228199005,0.5179925560951233
RMSE,2,96,0.018318794667720795,0.13534694910049438,0.08790011703968048,0.5117613673210144
RMSE,1,168,0.020536771044135094,0.14330656826496124,0.09462139755487442,0.5422319769859314
RMSE,2,168,0.02042943425476551,0.14293156564235687,0.09454325586557388,0.5408130884170532
MAE,1,24,0.011482995003461838,0.10715873539447784,0.06290280073881149,0.4049603343009949
MAE,2,24,0.01105409674346447,0.10513846576213837,0.061079539358615875,0.3973256051540375
MAE,1,96,0.019984431564807892,0.14136630296707153,0.0888453871011734,0.534521222114563
MAE,2,96,0.0203001257032156,0.14247851073741913,0.08875438570976257,0.5387266278266907
MAE,1,168,0.02299390733242035,0.15163742005825043,0.09486686438322067,0.5737535953521729
MAE,2,168,0.02248666062951088,0.14995552599430084,0.09472323209047318,0.5673897862434387
