Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.02238522097468376,0.14961691200733185,0.0998699814081192,0.5283762216567993
MSE,2,24,0.022110383957624435,0.14869560301303864,0.09895088523626328,0.5251225829124451
MSE,1,96,0.04116190969944,0.20288397371768951,0.14601756632328033,0.7184532284736633
MSE,2,96,0.041259486228227615,0.20312431454658508,0.14512071013450623,0.7193042039871216
MSE,1,168,0.04901506379246712,0.22139346599578857,0.15396997332572937,0.7843303680419922
MSE,2,168,0.04705154523253441,0.21691368520259857,0.15908119082450867,0.7684598565101624
RMSE,1,24,0.02217012457549572,0.14889635145664215,0.09893769770860672,0.5258314609527588
RMSE,2,24,0.022051407024264336,0.14849716424942017,0.09898459166288376,0.524421751499176
RMSE,1,96,0.04084101319313049,0.20209158957004547,0.14498324692249298,0.7156472206115723
RMSE,2,96,0.04106276109814644,0.20263949036598206,0.14444248378276825,0.717587411403656
RMSE,1,168,0.048725783824920654,0.22073917090892792,0.15191052854061127,0.782012403011322
RMSE,2,168,0.045950211584568024,0.21435999870300293,0.15176406502723694,0.759412944316864
MAE,1,24,0.02192538231611252,0.14807221293449402,0.09495460242033005,0.522921085357666
MAE,2,24,0.022367699071764946,0.14955835044384003,0.09675690531730652,0.5281693935394287
MAE,1,96,0.06461256742477417,0.25419002771377563,0.16946084797382355,0.900138258934021
MAE,2,96,0.0661666989326477,0.25722888112068176,0.1708032786846161,0.9108994603157043
MAE,1,168,0.06881575286388397,0.2623275816440582,0.17606662213802338,0.9293476343154907
MAE,2,168,0.05011438578367233,0.223862424492836,0.1572876125574112,0.7930771708488464
