Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.010824987664818764,0.10404320061206818,0.0630553811788559,0.3931865096092224
MSE,2,24,0.010904451832175255,0.1044243797659874,0.06499273329973221,0.39462703466415405
MSE,1,96,0.019207004457712173,0.13858933746814728,0.08923537284135818,0.5240212082862854
MSE,2,96,0.017937885597348213,0.13393239676952362,0.08639749139547348,0.5064128041267395
MSE,1,168,0.019209887832403183,0.13859973847866058,0.09188425540924072,0.5244226455688477
MSE,2,168,0.019263753667473793,0.1387939304113388,0.0903446301817894,0.5251573920249939
RMSE,1,24,0.010734161362051964,0.10360579937696457,0.06316515058279037,0.3915335536003113
RMSE,2,24,0.01144225150346756,0.1069684624671936,0.06617973744869232,0.40424126386642456
RMSE,1,96,0.01795119419693947,0.13398206233978271,0.08803517371416092,0.5066006183624268
RMSE,2,96,0.018671683967113495,0.1366443634033203,0.08930700272321701,0.5166671276092529
RMSE,1,168,0.019287724047899246,0.13888025283813477,0.0916801169514656,0.525484025478363
RMSE,2,168,0.019058968871831894,0.13805422186851501,0.0899815708398819,0.5223585963249207
MAE,1,24,0.06781573593616486,0.2604145407676697,0.13744769990444183,0.9841247797012329
MAE,2,24,0.011567641980946064,0.10755297541618347,0.06250350177288055,0.40645018219947815
MAE,1,96,0.07591918110847473,0.27553436160087585,0.1600743979215622,1.0418250560760498
MAE,2,96,0.075581394135952,0.2749207019805908,0.1589820832014084,1.0395047664642334
MAE,1,168,0.021179188042879105,0.14553071558475494,0.09274327754974365,0.550647497177124
MAE,2,168,0.02272954396903515,0.15076319873332977,0.09518729895353317,0.5704457759857178
