Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.5821053981781006,0.7629583477973938,0.507258951663971,0.5388815999031067
MSE,2,24,0.5617363452911377,0.7494907379150391,0.5069934725761414,0.5293693542480469
MSE,1,96,0.975433886051178,0.9876405596733093,0.7069133520126343,0.6994871497154236
MSE,2,96,1.0202168226242065,1.010057806968689,0.7201172113418579,0.7153639793395996
MSE,1,168,1.0452449321746826,1.0223722457885742,0.7262387871742249,0.7243914604187012
MSE,2,168,1.048880934715271,1.024148941040039,0.7293751835823059,0.7256502509117126
RMSE,1,24,0.5836709141731262,0.7639836072921753,0.5080409646034241,0.5396057367324829
RMSE,2,24,0.5530824661254883,0.7436951398849487,0.5012215971946716,0.5252758860588074
RMSE,1,96,0.9789762496948242,0.9894322752952576,0.7047417759895325,0.7007561326026917
RMSE,2,96,1.0341898202896118,1.0169512033462524,0.7237978577613831,0.7202461361885071
RMSE,1,168,1.0388625860214233,1.0192461013793945,0.7245185375213623,0.7221764922142029
RMSE,2,168,1.14153254032135,1.0684252977371216,0.7631654739379883,0.7570218443870544
MAE,1,24,0.6487476229667664,0.8054487109184265,0.5156450867652893,0.568892776966095
MAE,2,24,0.5677363872528076,0.7534828186035156,0.4944019317626953,0.5321890115737915
MAE,1,96,1.1340248584747314,1.0649060010910034,0.7311239242553711,0.7542097568511963
MAE,2,96,1.0730987787246704,1.0359047651290894,0.7072945237159729,0.7336698174476624
MAE,1,168,1.1462680101394653,1.0706390142440796,0.7319367527961731,0.7585904002189636
MAE,2,168,1.0771197080612183,1.0378438234329224,0.702481746673584,0.7353537082672119
