Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.010338997468352318,0.10168085992336273,0.06268459558486938,0.38425907492637634
MSE,2,24,0.010734870098531246,0.10360921919345856,0.06474432349205017,0.39154648780822754
MSE,1,96,0.018906524404883385,0.13750100135803223,0.089120052754879,0.5199061036109924
MSE,2,96,0.01846655271947384,0.13589169085025787,0.08840931951999664,0.5138211846351624
MSE,1,168,0.02046244777739048,0.1430470198392868,0.09501297026872635,0.5412498712539673
MSE,2,168,0.020444514229893684,0.1429843157529831,0.09515336155891418,0.5410126447677612
MAE,1,24,0.010945471934974194,0.10462061315774918,0.06313996762037277,0.3953685760498047
MAE,2,24,0.010685218498110771,0.1033693328499794,0.06094470992684364,0.39063990116119385
MAE,1,96,0.019647417590022087,0.14016924798488617,0.08734754472970963,0.5299950242042542
MAE,2,96,0.021865442395210266,0.14786967635154724,0.09057914465665817,0.5591111779212952
MAE,1,168,0.02326315827667713,0.15252265334129333,0.09529393911361694,0.5771030187606812
MAE,2,168,0.02324366569519043,0.15245872735977173,0.09611774235963821,0.5768612027168274
