Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.011139685288071632,0.10554470866918564,0.06488028168678284,0.3988608121871948
MSE,2,24,0.011506819166243076,0.10726984590291977,0.06715415418148041,0.4053802192211151
MSE,1,96,0.019469980150461197,0.1395348757505417,0.0925842821598053,0.5275964140892029
MSE,2,96,0.01865767501294613,0.13659310340881348,0.09037815779447556,0.5164732336997986
MSE,1,168,0.021184653043746948,0.1455494910478592,0.09746020287275314,0.5507185459136963
MSE,2,168,0.02053854614496231,0.1433127522468567,0.09565677493810654,0.5422554016113281
MAE,1,24,0.01203176286071539,0.1096893921494484,0.06421584635972977,0.4145238697528839
MAE,2,24,0.013082382269203663,0.11437824368476868,0.06724400073289871,0.43224334716796875
MAE,1,96,0.022316191345453262,0.14938604831695557,0.09133996814489365,0.5648447275161743
MAE,2,96,0.019260551780462265,0.13878239691257477,0.08605317771434784,0.5247511863708496
MAE,1,168,0.020803824067115784,0.14423531293869019,0.09436223655939102,0.5457460880279541
MAE,2,168,0.023398978635668755,0.15296724438667297,0.09908542037010193,0.578785240650177
