Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.025418387725949287,0.15943145751953125,0.10669958591461182,0.5630365014076233
MSE,2,24,0.024378953501582146,0.156137615442276,0.1056724339723587,0.5514042377471924
MSE,1,96,0.04084266349673271,0.20209567248821259,0.14526280760765076,0.7156617045402527
MSE,2,96,0.04111573100090027,0.2027701437473297,0.1442083716392517,0.7180501222610474
MSE,1,168,0.04924887791275978,0.22192087769508362,0.1555689126253128,0.7861988544464111
MSE,2,168,0.048157546669244766,0.2194482833147049,0.15382647514343262,0.7774391770362854
MAE,1,24,0.02503511682152748,0.1582248955965042,0.10250058770179749,0.5587754845619202
MAE,2,24,0.026359017938375473,0.16235460340976715,0.10303153097629547,0.5733596682548523
MAE,1,96,0.04122032970190048,0.2030279040336609,0.14230172336101532,0.7189628481864929
MAE,2,96,0.04413595050573349,0.21008558571338654,0.14426378905773163,0.7439554929733276
MAE,1,168,0.053022854030132294,0.23026691377162933,0.15602098405361176,0.8157663345336914
MAE,2,168,0.04767633229494095,0.21834909915924072,0.15297505259513855,0.7735451459884644
