Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.25892117619514465,0.5088430047035217,0.35830968618392944,0.49462392926216125
MSE,2,24,0.23997162282466888,0.48986899852752686,0.3382326066493988,0.47618016600608826
MSE,1,96,0.4419127106666565,0.6647651791572571,0.4733096659183502,0.646569013595581
MSE,2,96,0.5002959370613098,0.707315981388092,0.5115302801132202,0.6879551410675049
MSE,1,168,0.4672527015209198,0.6835588216781616,0.5047345757484436,0.6628128290176392
MSE,2,168,0.4635637104511261,0.6808551549911499,0.5041408538818359,0.6601911783218384
RMSE,1,24,0.26270100474357605,0.5125436782836914,0.35968947410583496,0.49822118878364563
RMSE,2,24,0.24519793689250946,0.4951746463775635,0.34172382950782776,0.4813375771045685
RMSE,1,96,0.4387984275817871,0.6624186038970947,0.4693324565887451,0.6442867517471313
RMSE,2,96,0.471591055393219,0.6867249011993408,0.48673340678215027,0.667927622795105
RMSE,1,168,0.4609777629375458,0.6789534091949463,0.5002171397209167,0.6583471894264221
RMSE,2,168,0.4807005226612091,0.6933256983757019,0.5033847689628601,0.6722832322120667
MAE,1,24,0.2680671215057373,0.5177519917488098,0.3305746614933014,0.5032839775085449
MAE,2,24,0.2553166449069977,0.5052886605262756,0.3241082429885864,0.49116891622543335
MAE,1,96,0.49115902185440063,0.7008273601531982,0.47365128993988037,0.6816441416740417
MAE,2,96,0.46618911623954773,0.6827804446220398,0.458564430475235,0.664091169834137
MAE,1,168,0.5403303503990173,0.7350716590881348,0.5003021359443665,0.7127622365951538
MAE,2,168,0.5429455637931824,0.7368484139442444,0.5033326745033264,0.7144849896430969
