Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,20647858.0,4543.9912109375,2991.840087890625,0.2259364128112793
MSE,2,24,20012764.0,4473.56298828125,2979.8720703125,0.22243456542491913
MSE,1,96,35706256.0,5975.47119140625,4163.154296875,0.2975805997848511
MSE,2,96,38053568.0,6168.75732421875,4203.2880859375,0.30720630288124084
MSE,1,168,41039112.0,6406.177734375,4328.85498046875,0.3191865384578705
MSE,2,168,37693112.0,6139.4716796875,4274.00537109375,0.30589795112609863
MAE,1,24,18663196.0,4320.09228515625,2689.3916015625,0.21480368077754974
MAE,2,24,19648218.0,4432.630859375,2722.645263671875,0.22039934992790222
MAE,1,96,41247308.0,6422.40673828125,4063.66357421875,0.31983813643455505
MAE,2,96,37667352.0,6137.37353515625,3862.161865234375,0.3056434094905853
MAE,1,168,39692484.0,6300.197265625,4161.8623046875,0.31390610337257385
MAE,2,168,40591140.0,6371.11767578125,4053.178955078125,0.3174396753311157
