Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1680994.875,1296.5318603515625,861.99560546875,0.09111034870147705
MSE,2,24,1580196.75,1257.0587158203125,835.594482421875,0.08833649009466171
MSE,1,96,3333727.75,1825.849853515625,1242.7080078125,0.12849251925945282
MSE,2,96,3329982.0,1824.8238525390625,1235.0142822265625,0.12842030823230743
MSE,1,168,4642685.0,2154.68896484375,1412.206298828125,0.15177665650844574
MSE,2,168,3976689.75,1994.1639404296875,1357.449951171875,0.1404692530632019
MAE,1,24,1440519.5,1200.2164306640625,759.9635620117188,0.08434204012155533
MAE,2,24,1422171.75,1192.5484619140625,752.7681274414062,0.083803191781044
MAE,1,96,2678728.5,1636.68212890625,1075.39013671875,0.11518000811338425
MAE,2,96,3289923.75,1813.814697265625,1161.396728515625,0.1276455521583557
MAE,1,168,4242708.0,2059.783447265625,1329.1781005859375,0.1450914889574051
MAE,2,168,4784611.0,2187.37548828125,1385.891357421875,0.15407909452915192
