Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1696561.0,1302.52099609375,857.1822509765625,0.09153122454881668
MSE,2,24,1713331.125,1308.9427490234375,885.3687133789062,0.09198249876499176
MSE,1,96,3421302.0,1849.6761474609375,1260.5140380859375,0.13016927242279053
MSE,2,96,3697298.25,1922.8359375,1325.630615234375,0.1353178173303604
MSE,1,168,4675170.5,2162.21435546875,1425.986083984375,0.15230673551559448
MSE,2,168,4445287.0,2108.385009765625,1414.09912109375,0.148514986038208
RMSE,1,24,1772951.375,1331.522216796875,882.83447265625,0.09356920421123505
RMSE,2,24,1705655.875,1306.007568359375,881.322265625,0.09177622944116592
RMSE,1,96,3241397.75,1800.38818359375,1225.7508544921875,0.12670066952705383
RMSE,2,96,3074052.25,1753.2974853515625,1195.16259765625,0.12338671088218689
RMSE,1,168,4601502.0,2145.111083984375,1414.7354736328125,0.1511019915342331
RMSE,2,168,3916505.5,1979.0162353515625,1351.43994140625,0.13940225541591644
MAE,1,24,1536245.125,1239.45361328125,781.243896484375,0.08709932863712311
MAE,2,24,1982624.5,1408.0570068359375,824.5411376953125,0.09894748777151108
MAE,1,96,3251107.5,1803.082763671875,1161.2264404296875,0.12689030170440674
MAE,2,96,2883676.75,1698.13916015625,1115.929931640625,0.11950498819351196
MAE,1,168,3670718.0,1915.9117431640625,1241.1048583984375,0.13495714962482452
MAE,2,168,4193679.75,2047.8475341796875,1284.98291015625,0.14425072073936462
