Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,21980930.0,4688.38232421875,3161.35595703125,0.23311582207679749
MSE,2,24,21397382.0,4625.73046875,2871.884765625,0.23000064492225647
MSE,1,96,38906908.0,6237.5400390625,4300.837890625,0.31063172221183777
MSE,2,96,40021996.0,6326.2939453125,4212.20361328125,0.31505170464515686
MSE,1,168,42061940.0,6485.517578125,4402.36328125,0.32313963770866394
MSE,2,168,45914860.0,6776.05029296875,4621.64697265625,0.33761537075042725
MAE,1,24,21871782.0,4676.7275390625,2841.9736328125,0.23253633081912994
MAE,2,24,22062046.0,4697.025390625,2876.52880859375,0.23354555666446686
MAE,1,96,37380548.0,6113.96337890625,3884.0576171875,0.3044775724411011
MAE,2,96,42881912.0,6548.42822265625,4106.74853515625,0.32611405849456787
MAE,1,168,43904392.0,6626.0390625,4388.93603515625,0.3301410675048828
MAE,2,168,45537116.0,6748.11962890625,4292.68115234375,0.3362237215042114
