Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,18418564.0,4291.685546875,2771.546630859375,0.2133912593126297
MSE,2,24,18167032.0,4262.2802734375,2737.802734375,0.21192917227745056
MSE,1,96,38027972.0,6166.6826171875,4192.33154296875,0.3071029782295227
MSE,2,96,38741736.0,6224.2861328125,4020.862548828125,0.3099716603755951
MSE,1,168,38667512.0,6218.32080078125,4159.83203125,0.3098265826702118
MSE,2,168,40122660.0,6334.2451171875,4268.5029296875,0.31560251116752625
MAE,1,24,17667154.0,4203.2314453125,2617.83154296875,0.20899313688278198
MAE,2,24,18296418.0,4277.43115234375,2690.16455078125,0.21268250048160553
MAE,1,96,40688736.0,6378.7724609375,4003.507568359375,0.31766512989997864
MAE,2,96,38573712.0,6210.77392578125,3890.927490234375,0.3092987537384033
MAE,1,168,39822152.0,6310.4794921875,4082.469482421875,0.31441840529441833
MAE,2,168,41195184.0,6418.34765625,4090.05419921875,0.31979289650917053
