Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1526122.125,1235.3631591796875,813.0914916992188,0.08681188523769379
MSE,2,24,1720168.5,1311.552001953125,849.8506469726562,0.09216585010290146
MSE,1,96,3564554.25,1888.002685546875,1239.82080078125,0.13286645710468292
MSE,2,96,3233782.0,1798.27197265625,1197.27587890625,0.12655173242092133
MSE,1,168,4201466.0,2049.747802734375,1339.478515625,0.14438457787036896
MSE,2,168,4258257.5,2063.5546875,1360.009521484375,0.1453571319580078
RMSE,1,24,1534866.75,1238.8973388671875,812.377197265625,0.08706024289131165
RMSE,2,24,1773736.375,1331.81689453125,851.7637939453125,0.0935899168252945
RMSE,1,96,3390077.0,1841.2161865234375,1212.3902587890625,0.12957391142845154
RMSE,2,96,3278264.25,1810.5977783203125,1197.8482666015625,0.12741915881633759
RMSE,1,168,4204012.5,2050.368896484375,1340.250732421875,0.1444283425807953
RMSE,2,168,4257367.0,2063.3388671875,1350.48828125,0.1453419327735901
MAE,1,24,1691501.875,1300.5775146484375,802.243408203125,0.09139464795589447
MAE,2,24,1389721.625,1178.864501953125,748.0409545898438,0.08284159004688263
MAE,1,96,3605560.25,1898.831298828125,1205.3231201171875,0.13362851738929749
MAE,2,96,3148950.0,1774.528076171875,1153.3165283203125,0.12488079071044922
MAE,1,168,3959525.75,1989.855712890625,1283.2562255859375,0.140165776014328
MAE,2,168,4440883.0,2107.34033203125,1338.431884765625,0.1484414041042328
