Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,18418564.0,4291.685546875,2771.546630859375,0.2133912593126297
MSE,2,24,18167032.0,4262.2802734375,2737.802734375,0.21192917227745056
MSE,1,96,37424368.0,6117.5458984375,4168.12890625,0.3046559691429138
MSE,2,96,37257860.0,6103.921875,4107.93359375,0.30397748947143555
MSE,1,168,46092168.0,6789.12109375,4381.388671875,0.33826664090156555
MSE,2,168,44667404.0,6683.36767578125,4597.7705078125,0.33299750089645386
RMSE,1,24,18157654.0,4261.1796875,2739.906982421875,0.21187445521354675
RMSE,2,24,18230998.0,4269.77734375,2744.075927734375,0.21230193972587585
RMSE,1,96,36981300.0,6081.22509765625,4129.41162109375,0.3028471767902374
RMSE,2,96,37051816.0,6087.0205078125,4084.916015625,0.30313578248023987
RMSE,1,168,45833352.0,6770.033203125,4312.388671875,0.3373155891895294
RMSE,2,168,43251628.0,6576.59716796875,4339.23193359375,0.3276776373386383
MAE,1,24,17667154.0,4203.2314453125,2617.83154296875,0.20899313688278198
MAE,2,24,18296418.0,4277.43115234375,2690.16455078125,0.21268250048160553
MAE,1,96,58144632.0,7625.2626953125,4835.001953125,0.37974080443382263
MAE,2,96,59814640.0,7733.99267578125,4860.65576171875,0.385155588388443
MAE,1,168,63280572.0,7954.90869140625,5039.19921875,0.39635175466537476
MAE,2,168,47031632.0,6857.96142578125,4509.09033203125,0.341696560382843
