Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,20480482.0,4525.53662109375,2909.485107421875,0.22501879930496216
MSE,2,24,18213778.0,4267.76025390625,2791.681640625,0.21220164000988007
MSE,1,96,35709004.0,5975.701171875,4075.11083984375,0.2975921034812927
MSE,2,96,36943168.0,6078.08935546875,3976.282958984375,0.3026910722255707
MSE,1,168,36735616.0,6060.9912109375,3992.347900390625,0.3019877076148987
MSE,2,168,38725652.0,6222.99365234375,4226.7587890625,0.31005945801734924
RMSE,1,24,19703646.0,4438.87890625,2844.352294921875,0.22071000933647156
RMSE,2,24,19322682.0,4395.75732421875,2863.135009765625,0.2185659110546112
RMSE,1,96,35458704.0,5954.72119140625,4002.440185546875,0.2965472936630249
RMSE,2,96,36999436.0,6082.71630859375,4040.15283203125,0.30292147397994995
RMSE,1,168,36233816.0,6019.453125,3968.357177734375,0.2999180853366852
RMSE,2,168,45239896.0,6726.06103515625,4444.7421875,0.335124671459198
MAE,1,24,20904604.0,4572.1552734375,2763.469482421875,0.22733676433563232
MAE,2,24,19740060.0,4442.978515625,2748.16845703125,0.2209138572216034
MAE,1,96,35747956.0,5978.95947265625,3889.906982421875,0.29775434732437134
MAE,2,96,38837292.0,6231.95751953125,4011.778076171875,0.31035372614860535
MAE,1,168,38654340.0,6217.26123046875,4107.84375,0.30977383255958557
MAE,2,168,38850424.0,6233.0107421875,4030.03076171875,0.3105585277080536
