Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1614068.875,1270.4600830078125,823.7156372070312,0.0892782211303711
MSE,2,24,1902259.5,1379.2242431640625,870.2908325195312,0.09692133963108063
MSE,1,96,3021703.5,1738.3048095703125,1158.2967529296875,0.12233159691095352
MSE,2,96,3637849.25,1907.314697265625,1260.7137451171875,0.1342255175113678
MSE,1,168,3940886.0,1985.16650390625,1289.510498046875,0.13983546197414398
MSE,2,168,4304971.0,2074.84228515625,1358.0887451171875,0.14615224301815033
RMSE,1,24,1709304.125,1307.403564453125,836.51025390625,0.09187433123588562
RMSE,2,24,1876224.0,1369.7532958984375,865.196044921875,0.09625579416751862
RMSE,1,96,3797486.0,1948.7139892578125,1284.2344970703125,0.1371389627456665
RMSE,2,96,3224745.25,1795.757568359375,1175.55078125,0.12637479603290558
RMSE,1,168,4194796.5,2048.1201171875,1321.7108154296875,0.1442699283361435
RMSE,2,168,4397381.0,2096.993408203125,1383.617919921875,0.1477125585079193
MAE,1,24,1545673.5,1243.251220703125,782.5362548828125,0.08736618608236313
MAE,2,24,1589269.25,1260.6622314453125,791.99658203125,0.08858971297740936
MAE,1,96,2955174.75,1719.0621337890625,1114.0162353515625,0.12097742408514023
MAE,2,96,2873405.25,1695.1121826171875,1096.5396728515625,0.11929196864366531
MAE,1,168,3699614.75,1923.438232421875,1219.0194091796875,0.13548731803894043
MAE,2,168,4377617.0,2092.275634765625,1337.90625,0.14738024771213531
