Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1547444.0,1243.9630126953125,822.1914672851562,0.08741621673107147
MSE,2,24,1827726.75,1351.9344482421875,885.418701171875,0.09500361979007721
MSE,1,96,3707538.75,1925.4970703125,1254.8304443359375,0.1355050802230835
MSE,2,96,3334153.0,1825.96630859375,1212.46337890625,0.12850069999694824
MSE,1,168,4258305.5,2063.566162109375,1351.6522216796875,0.14535795152187347
MSE,2,168,4184471.5,2045.5980224609375,1344.2694091796875,0.14409227669239044
MAE,1,24,1645302.5,1282.6934814453125,826.3154296875,0.09013789147138596
MAE,2,24,1408336.25,1186.7333984375,765.263916015625,0.08339455723762512
MAE,1,96,3098940.5,1760.3807373046875,1143.3651123046875,0.12388518452644348
MAE,2,96,3245477.75,1801.52099609375,1160.1573486328125,0.12678039073944092
MAE,1,168,4006630.25,2001.6568603515625,1286.006103515625,0.140997052192688
MAE,2,168,4571669.0,2138.146240234375,1343.22216796875,0.15061138570308685
