Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,22144956.0,4705.8427734375,3012.8515625,0.23398399353027344
MSE,2,24,20262382.0,4501.37548828125,2949.740234375,0.22381746768951416
MSE,1,96,38047776.0,6168.2880859375,4162.5185546875,0.3071829378604889
MSE,2,96,37857840.0,6152.87255859375,4103.22314453125,0.30641525983810425
MSE,1,168,46881424.0,6847.0009765625,4476.52685546875,0.3411504924297333
MSE,2,168,46423284.0,6813.46337890625,4453.21337890625,0.3394794762134552
MAE,1,24,21606588.0,4648.28857421875,2894.677001953125,0.23112228512763977
MAE,2,24,22582330.0,4752.0869140625,2871.896484375,0.2362833321094513
MAE,1,96,38691036.0,6220.2119140625,4066.916259765625,0.30976876616477966
MAE,2,96,41274512.0,6424.5244140625,4134.96875,0.3199436068534851
MAE,1,168,50191892.0,7084.62353515625,4464.84228515625,0.35298997163772583
MAE,2,168,45013488.0,6709.208984375,4394.25244140625,0.33428502082824707
