Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,20458642.0,4523.123046875,3016.656982421875,0.2248988002538681
MSE,2,24,18265502.0,4273.81591796875,2791.9541015625,0.21250274777412415
MSE,1,96,36498908.0,6041.4326171875,3972.61376953125,0.3008655309677124
MSE,2,96,42418092.0,6512.91748046875,4375.43310546875,0.3243456184864044
MSE,1,168,39235132.0,6263.79541015625,4307.79296875,0.3120923936367035
MSE,2,168,37890544.0,6155.52978515625,4260.3515625,0.3066980540752411
RMSE,1,24,20469224.0,4524.29248046875,3007.160888671875,0.2249569594860077
RMSE,2,24,18739230.0,4328.88330078125,2822.332763671875,0.21524080634117126
RMSE,1,96,35833200.0,5986.083984375,3917.44970703125,0.29810911417007446
RMSE,2,96,39601956.0,6293.00830078125,4131.7314453125,0.31339406967163086
RMSE,1,168,38069076.0,6170.01416015625,4236.10498046875,0.3074197471141815
RMSE,2,168,39885020.0,6315.458984375,4252.66259765625,0.3146664798259735
MAE,1,24,20925334.0,4574.421875,2752.579833984375,0.2274494618177414
MAE,2,24,19889488.0,4459.76318359375,2691.116943359375,0.22174841165542603
MAE,1,96,40326344.0,6350.302734375,3975.054931640625,0.3162473440170288
MAE,2,96,37853992.0,6152.5595703125,3816.9462890625,0.3063996732234955
MAE,1,168,44810908.0,6694.09521484375,4207.599609375,0.3335319757461548
MAE,2,168,44440940.0,6666.40380859375,4218.42333984375,0.33215227723121643
