Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.021450931206345558,0.1464613676071167,0.09386222064495087,0.5172322988510132
MSE,2,24,0.02142123319208622,0.14635995030403137,0.09442413598299026,0.5168741345405579
MSE,1,96,0.035045064985752106,0.1872032731771469,0.12920968234539032,0.6629246473312378
MSE,2,96,0.03603537380695343,0.18982985615730286,0.13202139735221863,0.6722258925437927
MSE,1,168,0.03861093893647194,0.19649666547775269,0.13665854930877686,0.6961284875869751
MSE,2,168,0.0376058854162693,0.19392237067222595,0.1368750035762787,0.6870085597038269
RMSE,1,24,0.021518126130104065,0.14669057726860046,0.0940595418214798,0.5180417895317078
RMSE,2,24,0.02140084095299244,0.14629025757312775,0.09408330172300339,0.5166280269622803
RMSE,1,96,0.03509388864040375,0.1873336285352707,0.1296379417181015,0.6633862853050232
RMSE,2,96,0.03612596541643143,0.190068319439888,0.1320345103740692,0.6730703115463257
RMSE,1,168,0.03855190426111221,0.19634638726711273,0.13726891577243805,0.6955961585044861
RMSE,2,168,0.03757075220346451,0.19383175671100616,0.13670550286769867,0.6866875886917114
MAE,1,24,0.021896962076425552,0.14797621965408325,0.09019491076469421,0.5225819945335388
MAE,2,24,0.021253786981105804,0.14578679203987122,0.0895480364561081,0.5148499608039856
MAE,1,96,0.03539472818374634,0.18813486397266388,0.1257358193397522,0.6662235856056213
MAE,2,96,0.03782464563846588,0.1944855898618698,0.12851838767528534,0.6887127757072449
MAE,1,168,0.03864600136876106,0.19658586382865906,0.13396330177783966,0.696444571018219
MAE,2,168,0.03962956741452217,0.1990717649459839,0.13433684408664703,0.7052512764930725
