Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.21626265347003937,0.4650404751300812,0.29809749126434326,0.42590153217315674
MSE,2,24,0.22569629549980164,0.47507503628730774,0.3016783595085144,0.4350915849208832
MSE,1,96,0.36429208517074585,0.6035661101341248,0.39916014671325684,0.5526279807090759
MSE,2,96,0.3614860475063324,0.6012371182441711,0.3974400758743286,0.5504955053329468
MSE,1,168,0.38637396693229675,0.6215898990631104,0.41775429248809814,0.5693001747131348
MSE,2,168,0.3866064250469208,0.621776819229126,0.417871356010437,0.5694714188575745
RMSE,1,24,0.2188238948583603,0.46778616309165955,0.3056754171848297,0.4284161329269409
RMSE,2,24,0.22278033196926117,0.47199612855911255,0.296539843082428,0.4322717487812042
RMSE,1,96,0.36328914761543274,0.6027347445487976,0.3974633812904358,0.5518667697906494
RMSE,2,96,0.36026856303215027,0.6002237796783447,0.39556941390037537,0.549567699432373
RMSE,1,168,0.38490840792655945,0.6204098463058472,0.41569945216178894,0.5682194232940674
RMSE,2,168,0.38462451100349426,0.6201810240745544,0.4157201945781708,0.5680098533630371
MAE,1,24,0.23465076088905334,0.4844076335430145,0.3008269965648651,0.4436386823654175
MAE,2,24,0.21791434288024902,0.46681296825408936,0.27051201462745667,0.4275248646736145
MAE,1,96,0.3722892701625824,0.6101551055908203,0.3902531862258911,0.5586609244346619
MAE,2,96,0.3720118999481201,0.609927773475647,0.390469491481781,0.5584527254104614
MAE,1,168,0.3948919177055359,0.6284042596817017,0.4102174639701843,0.5755413174629211
MAE,2,168,0.39474543929100037,0.6282877326011658,0.41018983721733093,0.5754345655441284
