Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.20162047445774078,0.44902169704437256,0.2636471688747406,0.4112309217453003
MSE,2,24,0.20252715051174164,0.4500301778316498,0.26186490058898926,0.41215452551841736
MSE,1,96,0.3569716811180115,0.5974710583686829,0.3740488588809967,0.5470473170280457
MSE,2,96,0.35971105098724365,0.5997591614723206,0.38184961676597595,0.5491423010826111
MSE,1,168,0.39895567297935486,0.6316294074058533,0.40674835443496704,0.5784950852394104
MSE,2,168,0.38504692912101746,0.6205214858055115,0.4034557640552521,0.5683216452598572
MAE,1,24,0.20293521881103516,0.4504833221435547,0.2528449594974518,0.412569522857666
MAE,2,24,0.20464353263378143,0.4523754417896271,0.2532264292240143,0.41430240869522095
MAE,1,96,0.38033607602119446,0.6167139410972595,0.36208972334861755,0.564666211605072
MAE,2,96,0.38670042157173157,0.6218523979187012,0.3645629584789276,0.5693709850311279
MAE,1,168,0.4169333279132843,0.6457037329673767,0.39248672127723694,0.591385543346405
MAE,2,168,0.4200829565525055,0.6481380462646484,0.38915538787841797,0.5936150550842285
