Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.10039250552654266,0.3168477714061737,0.20459148287773132,0.4000839293003082
MSE,2,24,0.1019921824336052,0.31936216354370117,0.2025916576385498,0.4032588303089142
MSE,1,96,0.16489508748054504,0.4060727655887604,0.2669159173965454,0.5121355652809143
MSE,2,96,0.16398201882839203,0.4049469232559204,0.26584017276763916,0.510715663433075
MSE,1,168,0.17445136606693268,0.4176737666130066,0.27865853905677795,0.5261897444725037
MSE,2,168,0.1746409386396408,0.41790062189102173,0.2786635160446167,0.5264756083488464
RMSE,1,24,0.10237220674753189,0.31995657086372375,0.20851056277751923,0.4040094316005707
RMSE,2,24,0.10138523578643799,0.3184104859828949,0.21016791462898254,0.4020571708679199
RMSE,1,96,0.1646045446395874,0.40571486949920654,0.26583579182624817,0.5116841197013855
RMSE,2,96,0.16352199018001556,0.4043785333633423,0.26456624269485474,0.5099987983703613
RMSE,1,168,0.17398840188980103,0.41711917519569397,0.27738022804260254,0.5254910588264465
RMSE,2,168,0.17380684614181519,0.41690146923065186,0.2771608531475067,0.525216817855835
MAE,1,24,0.10682186484336853,0.32683613896369934,0.20151293277740479,0.4126962721347809
MAE,2,24,0.15008710324764252,0.3874107599258423,0.1923186480998993,0.4891839027404785
MAE,1,96,0.1686638742685318,0.41068708896636963,0.2600093483924866,0.5179550647735596
MAE,2,96,0.16862164437770844,0.41063565015792847,0.260193407535553,0.517890214920044
MAE,1,168,0.17821213603019714,0.4221518039703369,0.2725679576396942,0.5318312048912048
MAE,2,168,0.1782127171754837,0.42215248942375183,0.2727116048336029,0.5318320989608765
