Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.4390804171562195,0.6626314520835876,0.4261071979999542,0.5244309306144714
MSE,2,24,0.4413072168827057,0.664309561252594,0.42702677845954895,0.5257591009140015
MSE,1,96,0.7833850383758545,0.8850904107093811,0.6169462203979492,0.701985776424408
MSE,2,96,0.7692865133285522,0.87708979845047,0.6145855188369751,0.6956402659416199
MSE,1,168,0.8303201198577881,0.9112190008163452,0.6474009156227112,0.721846878528595
MSE,2,168,0.8392124772071838,0.916085422039032,0.6532085537910461,0.7257018685340881
MAE,1,24,0.4441284239292145,0.6664296388626099,0.41061973571777344,0.5274369716644287
MAE,2,24,0.4469950199127197,0.6685768365859985,0.4128912091255188,0.5291363000869751
MAE,1,96,0.7926541566848755,0.8903112411499023,0.5974887609481812,0.7061265707015991
MAE,2,96,0.7960056066513062,0.892191469669342,0.6009284853935242,0.7076177597045898
MAE,1,168,0.8570437431335449,0.9257665872573853,0.6323410272598267,0.7333710789680481
MAE,2,168,0.8853008151054382,0.9409042596817017,0.6345837712287903,0.7453628182411194
