Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.023768704384565353,0.15417101979255676,0.0996347963809967,0.5444591641426086
MSE,2,24,0.02272137999534607,0.15073612332344055,0.0970846563577652,0.532328724861145
MSE,1,96,0.03675707057118416,0.1917213350534439,0.13927190005779266,0.678924024105072
MSE,2,96,0.036623552441596985,0.191372811794281,0.1387537121772766,0.677689790725708
MSE,1,168,0.03897438570857048,0.19741931557655334,0.1455087959766388,0.6993971467018127
MSE,2,168,0.039125923067331314,0.19780273735523224,0.14511321485042572,0.7007555365562439
RMSE,1,24,0.023728730157017708,0.1540413200855255,0.09950573742389679,0.5440011620521545
RMSE,2,24,0.023324845358729362,0.1527247428894043,0.09801636636257172,0.5393515229225159
RMSE,1,96,0.036603327840566635,0.19131995737552643,0.13838830590248108,0.6775026321411133
RMSE,2,96,0.03648588806390762,0.19101279973983765,0.13797330856323242,0.6764149069786072
RMSE,1,168,0.0388626903295517,0.19713622331619263,0.14482037723064423,0.6983942985534668
RMSE,2,168,0.039013225585222244,0.19751766324043274,0.14449027180671692,0.6997455954551697
MAE,1,24,0.023316901177167892,0.15269872546195984,0.0957954004406929,0.539259672164917
MAE,2,24,0.02310037985444069,0.15198808908462524,0.09490125626325607,0.536750078201294
MAE,1,96,0.038427021354436874,0.19602811336517334,0.13057343661785126,0.6941751837730408
MAE,2,96,0.03792143985629082,0.19473427534103394,0.13117457926273346,0.6895934343338013
MAE,1,168,0.038899242877960205,0.19722890853881836,0.1351262629032135,0.6987226605415344
MAE,2,168,0.03914948180317879,0.19786228239536285,0.13528558611869812,0.700966477394104
