Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.02275596372783184,0.1508508026599884,0.09933484345674515,0.532733678817749
MSE,2,24,0.02315976470708847,0.15218332409858704,0.09934287518262863,0.5374395251274109
MSE,1,96,0.042345594614744186,0.20578044652938843,0.1441667377948761,0.7287101745605469
MSE,2,96,0.03819509223103523,0.19543564319610596,0.13641740381717682,0.6920771598815918
MSE,1,168,0.04459647461771965,0.21117877960205078,0.1488092690706253,0.7481427788734436
MSE,2,168,0.042948778718709946,0.20724086463451385,0.14715154469013214,0.7341920137405396
RMSE,1,24,0.02474287711083889,0.15729868412017822,0.1036575511097908,0.555504560470581
RMSE,2,24,0.02763606794178486,0.16624099016189575,0.11141800880432129,0.5870845913887024
RMSE,1,96,0.0417700931429863,0.20437732338905334,0.14354148507118225,0.7237414717674255
RMSE,2,96,0.03903603553771973,0.1975753903388977,0.13909867405891418,0.6996544003486633
RMSE,1,168,0.04091637581586838,0.20227797329425812,0.1402643620967865,0.7166099548339844
RMSE,2,168,0.0426439493894577,0.20650412142276764,0.14669473469257355,0.7315818667411804
MAE,1,24,0.022842537611722946,0.15113748610019684,0.09522261470556259,0.533746063709259
MAE,2,24,0.02348499372601509,0.1532481461763382,0.0949099212884903,0.5411999821662903
MAE,1,96,0.03928346186876297,0.1982005536556244,0.13413530588150024,0.7018682956695557
MAE,2,96,0.04233036935329437,0.2057434618473053,0.13560429215431213,0.7285791635513306
MAE,1,168,0.05118086189031601,0.2262318730354309,0.15000008046627045,0.8014714121818542
MAE,2,168,0.050571780651807785,0.22488170862197876,0.14998504519462585,0.7966881990432739
