Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.025363877415657,0.159260407090187,0.1055602580308914,0.5624324083328247
MSE,2,24,0.0240552052855491,0.155097410082817,0.1023875623941421,0.5477306842803955
MSE,1,96,0.0420122183859348,0.2049688249826431,0.143634632229805,0.7258360385894775
MSE,2,96,0.0425274148583412,0.2062217593193054,0.1425205320119857,0.7302729487419128
MSE,1,168,0.0449136719107627,0.2119284570217132,0.1499911397695541,0.7507987022399902
MSE,2,168,0.0480743870139122,0.2192587256431579,0.1508907377719879,0.7767676115036011
RMSE,1,24,0.0239205434918403,0.1546626836061477,0.1037250831723213,0.546195387840271
RMSE,2,24,0.0240403059870004,0.1550493687391281,0.104359395802021,0.54756098985672
RMSE,1,96,0.0476015619933605,0.2181778252124786,0.1525401920080185,0.7726117968559265
RMSE,2,96,0.0457920879125595,0.2139908522367477,0.1417617201805114,0.757784903049469
RMSE,1,168,0.0443401522934436,0.2105710208415985,0.1473398208618164,0.7459896802902222
RMSE,2,168,0.0447154380381107,0.2114602476358413,0.1490814387798309,0.7491400241851807
MAE,1,24,0.0270190834999084,0.164374828338623,0.103241428732872,0.5804941058158875
MAE,2,24,0.0248621981590986,0.1576775163412094,0.0995796546339988,0.5568423867225647
MAE,1,96,0.0495670102536678,0.2226364910602569,0.1464849114418029,0.7884008884429932
MAE,2,96,0.0495536066591739,0.2226063907146453,0.1467435657978058,0.78829425573349
MAE,1,168,0.0603155456483364,0.2455922365188598,0.1603709757328033,0.8700593113899231
MAE,2,168,0.0545361116528511,0.2335296869277954,0.1560468822717666,0.8273254036903381
