Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.5359982252120972,0.7321190237998962,0.4715895354747772,0.5170996189117432
MSE,2,24,0.5332819819450378,0.7302615642547607,0.47118669748306274,0.5157877206802368
MSE,1,96,0.8908179998397827,0.9438315629959106,0.6565252542495728,0.6684598326683044
MSE,2,96,0.9084542989730835,0.9531286954879761,0.6624035835266113,0.6750444769859314
MSE,1,168,0.9641668200492859,0.9819199442863464,0.6851017475128174,0.6957293748855591
MSE,2,168,0.9401134252548218,0.9695944786071777,0.6843422055244446,0.686996340751648
RMSE,1,24,0.541360080242157,0.7357717752456665,0.4735095798969269,0.5196795463562012
RMSE,2,24,0.5329764485359192,0.7300523519515991,0.4693261682987213,0.5156399607658386
RMSE,1,96,0.8934080600738525,0.945202648639679,0.655841588973999,0.6694309115409851
RMSE,2,96,0.8943842649459839,0.9457189440727234,0.6557129621505737,0.6697965264320374
RMSE,1,168,0.9804030060768127,0.9901530146598816,0.6853036284446716,0.7015628814697266
RMSE,2,168,0.9392515420913696,0.9691498875617981,0.6835147738456726,0.68668133020401
MAE,1,24,0.542383074760437,0.7364665865898132,0.4505196213722229,0.5201703310012817
MAE,2,24,0.5393510460853577,0.7344052195549011,0.4493239223957062,0.518714427947998
MAE,1,96,0.8916634321212769,0.9442793130874634,0.6294323801994324,0.6687769889831543
MAE,2,96,0.926580548286438,0.9625905156135559,0.6355494260787964,0.681745707988739
MAE,1,168,0.9621178507804871,0.980876088142395,0.6684539914131165,0.694989800453186
MAE,2,168,0.9993071556091309,0.9996535181999207,0.6710531711578369,0.7082943320274353
