Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.2873123288154602,0.5360152125358582,0.317269504070282,0.40512779355049133
MSE,2,24,0.27838462591171265,0.5276216864585876,0.3206811845302582,0.3987838327884674
MSE,1,96,0.4546108841896057,0.6742483973503113,0.43555915355682373,0.5098811984062195
MSE,2,96,0.45197951793670654,0.6722941994667053,0.43395859003067017,0.508403480052948
MSE,1,168,0.48402324318885803,0.6957178115844727,0.4580899178981781,0.526480495929718
MSE,2,168,0.48430365324020386,0.6959192752838135,0.4563156068325043,0.5266329646110535
RMSE,1,24,0.28488874435424805,0.5337496995925903,0.3288227319717407,0.4034154713153839
RMSE,2,24,0.28686410188674927,0.5355969667434692,0.3322629928588867,0.40481168031692505
RMSE,1,96,0.45322608947753906,0.673220694065094,0.43340685963630676,0.5091040730476379
RMSE,2,96,0.45016616582870483,0.6709442138671875,0.43147602677345276,0.5073825716972351
RMSE,1,168,0.48228639364242554,0.6944684386253357,0.4557915925979614,0.5255350470542908
RMSE,2,168,0.48167532682418823,0.6940283179283142,0.45367175340652466,0.5252019762992859
MAE,1,24,0.2938026487827301,0.5420356392860413,0.3255792558193207,0.4096781313419342
MAE,2,24,0.27290865778923035,0.5224065780639648,0.2970241606235504,0.3948422074317932
MAE,1,96,0.46660953760147095,0.6830882430076599,0.4284347891807556,0.5165660977363586
MAE,2,96,0.46679991483688354,0.6832275986671448,0.4279487431049347,0.5166714787483215
MAE,1,168,0.49439460039138794,0.7031319737434387,0.449979692697525,0.5320910811424255
MAE,2,168,0.4951009154319763,0.7036340832710266,0.449794739484787,0.5324711203575134
