Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.010102159343659878,0.10050950199365616,0.058577075600624084,0.3798324465751648
MSE,2,24,0.010176287963986397,0.10087759047746658,0.05809824913740158,0.3812234401702881
MSE,1,96,0.017983945086598396,0.13410423696041107,0.08237696439027786,0.507062554359436
MSE,2,96,0.017947325482964516,0.13396762311458588,0.08385661989450455,0.5065460205078125
MSE,1,168,0.019972413778305054,0.14132378995418549,0.08907762914896011,0.5347296595573425
MSE,2,168,0.019254181534051895,0.13875943422317505,0.08878102153539658,0.5250269174575806
MAE,1,24,0.010154441930353642,0.10076925158500671,0.05643478408455849,0.3808140456676483
MAE,2,24,0.010180042125284672,0.1008961945772171,0.056451667100191116,0.38129374384880066
MAE,1,96,0.01871649920940399,0.13680826127529144,0.08084283769130707,0.5172867178916931
MAE,2,96,0.018979672342538834,0.1377667337656021,0.08104903250932693,0.5209108591079712
MAE,1,168,0.02112378552556038,0.145340234041214,0.0873328149318695,0.5499268174171448
MAE,2,168,0.020908666774630547,0.14459829032421112,0.08779238164424896,0.5471194982528687
