Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.02151375077664852,0.14667566120624542,0.09443403780460358,0.5179890990257263
MSE,2,24,0.021503789350390434,0.14664170145988464,0.094483882188797,0.5178691744804382
MSE,1,96,0.035894665867090225,0.18945887684822083,0.1305924355983734,0.6709121465682983
MSE,2,96,0.035947516560554504,0.18959830701351166,0.13077569007873535,0.6714059114456177
MSE,1,168,0.03850943595170975,0.1962382048368454,0.13752323389053345,0.6950915455818176
MSE,2,168,0.038378261029720306,0.1959037035703659,0.13735543191432953,0.6939066648483276
MAE,1,24,0.021978221833705902,0.1482505351305008,0.09222201257944107,0.523550808429718
MAE,2,24,0.021983487531542778,0.14826829731464386,0.0921107679605484,0.5236135125160217
MAE,1,96,0.03698604926466942,0.19231757521629333,0.12808860838413239,0.6810353994369507
MAE,2,96,0.036755286157131195,0.19171668589115143,0.12798668444156647,0.678907573223114
MAE,1,168,0.03920644149184227,0.19800616800785065,0.1343221515417099,0.7013537287712097
MAE,2,168,0.039061352610588074,0.19763945043087006,0.13433392345905304,0.7000548243522644
