Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.24377213418483734,0.49373286962509155,0.32709261775016785,0.47993603348731995
MSE,2,24,0.2340896874666214,0.4838281571865082,0.3247095048427582,0.4703080952167511
MSE,1,96,0.4056432843208313,0.636901319026947,0.4532889127731323,0.6194678544998169
MSE,2,96,0.42308685183525085,0.6504512429237366,0.45941707491874695,0.6326469779014587
MSE,1,168,0.43000683188438416,0.6557490825653076,0.4732247292995453,0.6358470320701599
MSE,2,168,0.4409139156341553,0.6640135049819946,0.4773784875869751,0.6438606381416321
RMSE,1,24,0.2432195246219635,0.49317291378974915,0.32862284779548645,0.4793917238712311
RMSE,2,24,0.23733577132225037,0.4871712028980255,0.3286206126213074,0.473557710647583
RMSE,1,96,0.4036690294742584,0.6353495121002197,0.4568611979484558,0.6179585456848145
RMSE,2,96,0.40025779604911804,0.6326593160629272,0.45186686515808105,0.6153419613838196
RMSE,1,168,0.43307942152023315,0.6580876708030701,0.4750068783760071,0.6381146907806396
RMSE,2,168,0.4349460303783417,0.6595043540000916,0.4763880968093872,0.6394883394241333
MAE,1,24,0.2377876341342926,0.4876347482204437,0.3079063892364502,0.47400835156440735
MAE,2,24,0.23179012537002563,0.48144587874412537,0.3022615611553192,0.4679924249649048
MAE,1,96,0.5228630304336548,0.7230926752090454,0.47324660420417786,0.7032999992370605
MAE,2,96,0.4096048176288605,0.6400037407875061,0.44065436720848083,0.6224853992462158
MAE,1,168,0.43595191836357117,0.6602665781974792,0.460109144449234,0.6402274370193481
MAE,2,168,0.43597641587257385,0.6602851152420044,0.4598439037799835,0.6402454376220703
