Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17087272.0,4133.67529296875,2532.1259765625,0.2055346667766571
MSE,2,24,17264586.0,4155.0673828125,2560.413818359375,0.20659832656383514
MSE,1,96,32499408.0,5700.8251953125,3666.42626953125,0.2839031219482422
MSE,2,96,31188792.0,5584.69287109375,3634.28759765625,0.27811968326568604
MSE,1,168,34446284.0,5869.095703125,3848.94775390625,0.29242652654647827
MSE,2,168,33951056.0,5826.75341796875,3814.4599609375,0.2903168499469757
MAE,1,24,16533660.0,4066.160400390625,2392.818115234375,0.20217768847942352
MAE,2,24,16872776.0,4107.6484375,2413.8291015625,0.2042405754327774
MAE,1,96,32487240.0,5699.7578125,3491.81689453125,0.2838499844074249
MAE,2,96,32429816.0,5694.71826171875,3518.185791015625,0.28359901905059814
MAE,1,168,34051008.0,5835.32421875,3678.46044921875,0.290743887424469
MAE,2,168,35826916.0,5985.55908203125,3762.296630859375,0.29822930693626404
