Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1312173.25,1145.5013427734375,756.471923828125,0.08049707859754562
MSE,2,24,1321465.125,1149.5499267578125,759.6286010742188,0.08078158646821976
MSE,1,96,2694919.0,1641.620849609375,1102.18798828125,0.11552756279706955
MSE,2,96,2625019.0,1620.1910400390625,1093.866455078125,0.11401946097612381
MSE,1,168,3139875.25,1771.9693603515625,1196.216552734375,0.12481781840324402
MSE,2,168,3260984.75,1805.8197021484375,1226.39453125,0.12720224261283875
MAE,1,24,1205955.25,1098.159912109375,689.5393676757812,0.07717029005289078
MAE,2,24,1217987.25,1103.6246337890625,689.6762084960938,0.07755430042743683
MAE,1,96,2643049.5,1625.745849609375,1045.0140380859375,0.11441037058830261
MAE,2,96,2620916.5,1618.9244384765625,1033.93017578125,0.11393032968044281
MAE,1,168,3088662.0,1757.458984375,1125.1514892578125,0.12379570305347443
MAE,2,168,3025792.0,1739.4803466796875,1117.3406982421875,0.1225292906165123
