Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1888251.625,1374.13671875,946.0014038085938,0.09656382352113724
MSE,2,24,1746225.75,1321.4483642578125,910.2933959960938,0.09286129474639893
MSE,1,96,3313422.5,1820.2808837890625,1241.3648681640625,0.12810060381889343
MSE,2,96,3265158.75,1806.9749755859375,1229.9158935546875,0.12716421484947205
MSE,1,168,3830158.0,1957.0789794921875,1328.46728515625,0.13785697519779205
MSE,2,168,3708326.75,1925.70166015625,1313.2982177734375,0.1356467604637146
RMSE,1,24,2111207.75,1452.99951171875,989.4656372070312,0.10210570693016052
RMSE,2,24,2039680.5,1428.173828125,989.9337158203125,0.10036113858222961
RMSE,1,96,3247477.0,1802.0758056640625,1229.265869140625,0.1268194317817688
RMSE,2,96,3191100.75,1786.365234375,1216.0294189453125,0.12571381032466888
RMSE,1,168,3762426.0,1939.6973876953125,1316.056640625,0.13663262128829956
RMSE,2,168,3631123.5,1905.5506591796875,1299.105712890625,0.13422732055187225
MAE,1,24,1802445.75,1342.552001953125,882.4845581054688,0.09434428811073303
MAE,2,24,1397562.75,1182.185546875,716.2701416015625,0.08307497203350067
MAE,1,96,3039094.5,1743.2999267578125,1164.7308349609375,0.12268313765525818
MAE,2,96,3028741.0,1740.327880859375,1162.4697265625,0.12247397750616074
MAE,1,168,3552784.75,1884.8831787109375,1258.2855224609375,0.13277149200439453
MAE,2,168,3531337.25,1879.185302734375,1255.2706298828125,0.13237012922763824
