Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17643310.0,4200.39404296875,2682.8232421875,0.20885205268859863
MSE,2,24,17569352.0,4191.5810546875,2676.9150390625,0.20841385424137115
MSE,1,96,31436286.0,5606.80712890625,3670.923583984375,0.2792209982872009
MSE,2,96,31604090.0,5621.75146484375,3682.28759765625,0.27996525168418884
MSE,1,168,34401788.0,5865.3037109375,3863.600341796875,0.2922571301460266
MSE,2,168,34455432.0,5869.875,3867.40625,0.29248490929603577
MAE,1,24,17620972.0,4197.734375,2585.995849609375,0.20871980488300323
MAE,2,24,17469412.0,4179.642578125,2569.990966796875,0.20782025158405304
MAE,1,96,32032500.0,5659.72607421875,3562.882568359375,0.28185638785362244
MAE,2,96,32054014.0,5661.62646484375,3570.690673828125,0.28195101022720337
MAE,1,168,34929708.0,5910.13623046875,3738.978271484375,0.2944910526275635
MAE,2,168,35163840.0,5929.91064453125,3757.93017578125,0.29547637701034546
