Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17142486.0,4140.3486328125,2565.93017578125,0.2058664858341217
MSE,2,24,17089198.0,4133.908203125,2575.789794921875,0.20554625988006592
MSE,1,96,31524144.0,5614.63671875,3636.78857421875,0.2796109616756439
MSE,2,96,33323196.0,5772.62451171875,3707.9365234375,0.28747883439064026
MSE,1,168,34983416.0,5914.67822265625,3824.748291015625,0.29469767212867737
MSE,2,168,34048708.0,5835.126953125,3839.20703125,0.29073405265808105
RMSE,1,24,17373884.0,4168.19921875,2577.19970703125,0.20725126564502716
RMSE,2,24,17012618.0,4124.6357421875,2558.65478515625,0.20508518815040588
RMSE,1,96,31708800.0,5631.056640625,3635.224365234375,0.2804286777973175
RMSE,2,96,32409162.0,5692.904296875,3661.599609375,0.2835087180137634
RMSE,1,168,35351660.0,5945.72607421875,3821.09619140625,0.29624462127685547
RMSE,2,168,33994148.0,5830.4501953125,3832.315185546875,0.29050102829933167
MAE,1,24,16739734.0,4091.422119140625,2419.34033203125,0.20343375205993652
MAE,2,24,16871196.0,4107.4560546875,2425.1201171875,0.20423100888729095
MAE,1,96,31304240.0,5595.01904296875,3466.73583984375,0.2786340117454529
MAE,2,96,32648818.0,5713.91455078125,3491.83544921875,0.28455501794815063
MAE,1,168,34872248.0,5905.27294921875,3729.80712890625,0.29422909021377563
MAE,2,168,35697720.0,5974.7568359375,3709.144287109375,0.29769107699394226
