Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,18796964.0,4335.54638671875,2721.77587890625,0.21557210385799408
MSE,2,24,18245456.0,4271.47021484375,2664.433349609375,0.2123861014842987
MSE,1,96,32576136.0,5707.55078125,3937.265380859375,0.2842380702495575
MSE,2,96,32513784.0,5702.0859375,3915.39990234375,0.28396591544151306
MSE,1,168,35581968.0,5965.0625,4137.59130859375,0.2972080409526825
MSE,2,168,35745328.0,5978.73974609375,4123.7763671875,0.2978895306587219
RMSE,1,24,19014310.0,4360.5400390625,2722.31640625,0.2168148308992386
RMSE,2,24,18353394.0,4284.0859375,2661.82763671875,0.2130134105682373
RMSE,1,96,32360570.0,5688.63525390625,3905.592041015625,0.28329604864120483
RMSE,2,96,32326948.0,5685.67919921875,3887.625732421875,0.283148854970932
RMSE,1,168,35409284.0,5950.56982421875,4112.27734375,0.2964859902858734
RMSE,2,168,35583288.0,5965.1728515625,4101.09814453125,0.2972135543823242
MAE,1,24,18010934.0,4243.92919921875,2587.850341796875,0.2110167145729065
MAE,2,24,17940912.0,4235.67138671875,2567.298828125,0.21060611307621002
MAE,1,96,33274860.0,5768.4365234375,3605.2802734375,0.287270188331604
MAE,2,96,32594430.0,5709.1533203125,3625.574951171875,0.28431788086891174
MAE,1,168,34130992.0,5842.17333984375,3749.273681640625,0.2910851538181305
MAE,2,168,34361140.0,5861.83740234375,3752.2724609375,0.292064905166626
