Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17937842.0,4235.30908203125,2700.571533203125,0.21058809757232666
MSE,2,24,18291816.0,4276.89306640625,2723.598876953125,0.21265576779842377
MSE,1,96,37627388.0,6134.11669921875,4097.5498046875,0.3054812252521515
MSE,2,96,34112108.0,5840.55712890625,3830.144775390625,0.2908618450164795
MSE,1,168,40797516.0,6387.29345703125,4201.81494140625,0.31824561953544617
MSE,2,168,40016304.0,6325.84423828125,4216.599609375,0.31518393754959106
RMSE,1,24,20196358.0,4494.03564453125,2889.832275390625,0.22345252335071564
RMSE,2,24,23053352.0,4801.390625,3150.207275390625,0.23873482644557953
RMSE,1,96,37400496.0,6115.5947265625,4083.6396484375,0.30455881357192993
RMSE,2,96,34960184.0,5912.7138671875,3935.287109375,0.29445526003837585
RMSE,1,168,35232612.0,5935.70654296875,3864.7724609375,0.2957454323768616
RMSE,2,168,39467032.0,6282.279296875,4191.44921875,0.31301331520080566
MAE,1,24,17627044.0,4198.45751953125,2560.031982421875,0.208755761384964
MAE,2,24,18100182.0,4254.4306640625,2555.05517578125,0.2115388810634613
MAE,1,96,32837766.0,5730.4248046875,3682.619140625,0.28537717461586
MAE,2,96,33165298.0,5758.93212890625,3640.189208984375,0.2867968678474426
MAE,1,168,41286724.0,6425.474609375,4055.570556640625,0.3201479911804199
MAE,2,168,40031320.0,6327.03076171875,4023.649658203125,0.31524309515953064
