Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,19506484.0,4416.61474609375,2876.10693359375,0.21960297226905823
MSE,2,24,19008062.0,4359.82373046875,2790.5966796875,0.2167792171239853
MSE,1,96,36130940.0,6010.90185546875,4012.98876953125,0.29934507608413696
MSE,2,96,36122992.0,6010.24072265625,3954.746826171875,0.29931214451789856
MSE,1,168,39282812.0,6267.60009765625,4202.294921875,0.3122819662094116
MSE,2,168,40928480.0,6397.537109375,4202.4697265625,0.3187560439109802
RMSE,1,24,19043724.0,4363.91162109375,2849.044189453125,0.21698248386383057
RMSE,2,24,19401690.0,4404.73486328125,2870.5693359375,0.2190122902393341
RMSE,1,96,38907712.0,6237.6044921875,4236.4296875,0.31063494086265564
RMSE,2,96,37945684.0,6160.0068359375,3876.059326171875,0.30677053332328796
RMSE,1,168,38489120.0,6203.9599609375,4120.31298828125,0.309111088514328
RMSE,2,168,39429468.0,6279.28857421875,4190.6279296875,0.3128643333911896
MAE,1,24,19359624.0,4399.95703125,2728.831298828125,0.21877475082874298
MAE,2,24,18901044.0,4347.533203125,2686.691650390625,0.2161681205034256
MAE,1,96,38852912.0,6233.21044921875,3966.372802734375,0.3104161322116852
MAE,2,96,39954652.0,6320.96923828125,3986.60498046875,0.31478652358055115
MAE,1,168,43195992.0,6572.36572265625,4203.34130859375,0.32746684551239014
MAE,2,168,45199216.0,6723.0361328125,4282.54345703125,0.3349739611148834
