Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1425809.25,1194.072509765625,777.8846435546875,0.08391029387712479
MSE,2,24,1567217.375,1251.885498046875,821.9158935546875,0.08797294646501541
MSE,1,96,3180267.5,1783.3304443359375,1181.7724609375,0.12550024688243866
MSE,2,96,3138218.75,1771.5018310546875,1171.4361572265625,0.12466781586408615
MSE,1,168,3696615.75,1922.6585693359375,1272.8616943359375,0.1354323923587799
MSE,2,168,3585153.0,1893.4500732421875,1255.5126953125,0.13337494432926178
RMSE,1,24,1851239.75,1360.6026611328125,874.3258666992188,0.09561275690793991
RMSE,2,24,1904212.75,1379.93212890625,891.0720825195312,0.09697108715772629
RMSE,1,96,3112636.75,1764.2666015625,1168.9271240234375,0.12415865063667297
RMSE,2,96,3066072.25,1751.0203857421875,1157.3131103515625,0.12322644889354706
RMSE,1,168,3629612.0,1905.154052734375,1260.3294677734375,0.1341993808746338
RMSE,2,168,3511769.5,1873.9715576171875,1241.4854736328125,0.13200287520885468
MAE,1,24,1713275.5,1308.9215087890625,830.8518676757812,0.09198100119829178
MAE,2,24,1275363.875,1129.320068359375,707.8778686523438,0.0793599784374237
MAE,1,96,2935578.0,1713.3529052734375,1118.6153564453125,0.12057564407587051
MAE,2,96,2921068.25,1709.11328125,1113.72802734375,0.1202772855758667
MAE,1,168,3423239.5,1850.1998291015625,1207.8172607421875,0.13032838702201843
MAE,2,168,3394619.0,1842.44921875,1202.9412841796875,0.12978242337703705
