Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,1345279.75,1159.8619384765625,744.5025634765625,0.08150623738765717
MSE,2,24,1345018.875,1159.74951171875,748.0704345703125,0.08149833232164383
MSE,1,96,2733544.0,1653.34326171875,1080.4556884765625,0.11635251343250275
MSE,2,96,2685297.5,1638.687744140625,1075.378662109375,0.11532114446163177
MSE,1,168,3203129.75,1789.72900390625,1175.19287109375,0.1260688155889511
MSE,2,168,3249148.25,1802.5394287109375,1180.3934326171875,0.12697118520736694
MAE,1,24,1196659.25,1093.919189453125,676.91748046875,0.07687228173017502
MAE,2,24,1235584.125,1111.568359375,693.6527709960938,0.07811252772808075
MAE,1,96,2641473.75,1625.2611083984375,1033.895751953125,0.1143762618303299
MAE,2,96,2638311.75,1624.2880859375,1032.549072265625,0.11430779099464417
MAE,1,168,3125136.25,1767.8055419921875,1126.43408203125,0.12452451139688492
MAE,2,168,3089354.0,1757.6558837890625,1120.9505615234375,0.1238095760345459
