Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17377448.0,4168.62646484375,2604.560546875,0.2072725147008896
MSE,2,24,17338256.0,4163.92333984375,2604.29736328125,0.20703865587711334
MSE,1,96,31198698.0,5585.57958984375,3612.443359375,0.2781638503074646
MSE,2,96,31320716.0,5596.4912109375,3619.72802734375,0.27870726585388184
MSE,1,168,34321564.0,5858.4609375,3817.72998046875,0.2919161915779114
MSE,2,168,34215236.0,5849.37890625,3813.87890625,0.2914636433124542
MAE,1,24,17364978.0,4167.130859375,2519.1376953125,0.2071981281042099
MAE,2,24,17280746.0,4157.01171875,2512.12158203125,0.20669499039649963
MAE,1,96,31669874.0,5627.59912109375,3512.333740234375,0.280256450176239
MAE,2,96,31654852.0,5626.2646484375,3514.680908203125,0.28018999099731445
MAE,1,168,34749376.0,5894.8603515625,3702.56298828125,0.29372987151145935
MAE,2,168,34745748.0,5894.55224609375,3707.13427734375,0.2937145531177521
