Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,18229302.0,4269.57861328125,2643.64306640625,0.21229206025600433
MSE,2,24,17448062.0,4177.087890625,2625.818359375,0.20769323408603668
MSE,1,96,31905132.0,5648.462890625,3713.9365234375,0.28129544854164124
MSE,2,96,34005252.0,5831.40234375,3790.419677734375,0.29040592908859253
MSE,1,168,34134564.0,5842.4794921875,3888.266845703125,0.2911003828048706
MSE,2,168,35157356.0,5929.36376953125,3919.80126953125,0.29542940855026245
RMSE,1,24,18199538.0,4266.091796875,2667.862060546875,0.21211868524551392
RMSE,2,24,17552708.0,4189.59521484375,2641.27880859375,0.20831511914730072
RMSE,1,96,32573556.0,5707.32470703125,3834.916748046875,0.28422680497169495
RMSE,2,96,32110734.0,5666.63330078125,3774.54248046875,0.2822003662586212
RMSE,1,168,35332576.0,5944.12109375,3983.261962890625,0.2961646616458893
RMSE,2,168,35436588.0,5952.86376953125,3990.803466796875,0.29660025238990784
MAE,1,24,17101788.0,4135.4306640625,2451.934326171875,0.20562195777893066
MAE,2,24,16840840.0,4103.75927734375,2404.939697265625,0.20404717326164246
MAE,1,96,37380588.0,6113.966796875,3756.436767578125,0.304477721452713
MAE,2,96,32031288.0,5659.619140625,3615.173583984375,0.28185105323791504
MAE,1,168,34436244.0,5868.240234375,3779.667236328125,0.29238390922546387
MAE,2,168,34408188.0,5865.84912109375,3774.69189453125,0.29226478934288025
