Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,17161886.0,4142.6904296875,2553.821044921875,0.20598293840885162
MSE,2,24,17119326.0,4137.55078125,2579.4404296875,0.20572736859321594
MSE,1,96,30968164.0,5564.90478515625,3569.146484375,0.2771342396736145
MSE,2,96,32859850.0,5732.35107421875,3690.53515625,0.28547313809394836
MSE,1,168,35078208.0,5922.68603515625,3812.864501953125,0.29509666562080383
MSE,2,168,34050108.0,5835.2470703125,3839.478271484375,0.290740042924881
RMSE,1,24,17274290.0,4156.23486328125,2560.883056640625,0.20665638148784637
RMSE,2,24,17063130.0,4130.75439453125,2569.022216796875,0.20538942515850067
RMSE,1,96,31071448.0,5574.1767578125,3584.55615234375,0.27759599685668945
RMSE,2,96,32765476.0,5724.11376953125,3690.989990234375,0.28506290912628174
RMSE,1,168,34756880.0,5895.49658203125,3835.135009765625,0.29374197125434875
RMSE,2,168,33994724.0,5830.49951171875,3832.401611328125,0.29050347208976746
MAE,1,24,16924342.0,4113.92041015625,2418.190673828125,0.20455242693424225
MAE,2,24,16638304.0,4079.0078125,2411.266845703125,0.20281648635864258
MAE,1,96,31024660.0,5569.978515625,3461.25146484375,0.2773869037628174
MAE,2,96,33443530.0,5783.0380859375,3538.765869140625,0.28799739480018616
MAE,1,168,34850600.0,5903.439453125,3733.352783203125,0.29413774609565735
MAE,2,168,35550684.0,5962.439453125,3720.859130859375,0.29707738757133484
