Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.4845530688762665,0.6960984468460083,0.4747908413410187,0.5509179830551147
MSE,2,24,0.48707887530326843,0.6979103684425354,0.4671614170074463,0.5523520112037659
MSE,1,96,0.825575590133667,0.9086118936538696,0.6690298318862915,0.7206411957740784
MSE,2,96,0.8441876769065857,0.9187968373298645,0.6719043254852295,0.728719174861908
MSE,1,168,0.8688871264457703,0.932141125202179,0.6895283460617065,0.738420844078064
MSE,2,168,0.9266458749771118,0.9626244902610779,0.7018088698387146,0.762569010257721
RMSE,1,24,0.5057210326194763,0.7111406326293945,0.4946559965610504,0.5628229379653931
RMSE,2,24,0.48906710743904114,0.6993333101272583,0.47708749771118164,0.5534781813621521
RMSE,1,96,0.8274734616279602,0.9096556901931763,0.6720293760299683,0.7214690446853638
RMSE,2,96,0.8260217308998108,0.9088574051856995,0.6637703776359558,0.7208359241485596
RMSE,1,168,0.8860350251197815,0.9412943124771118,0.698183000087738,0.745671808719635
RMSE,2,168,0.9077568054199219,0.9527627229690552,0.6933366656303406,0.7547568082809448
MAE,1,24,0.5188416242599487,0.7203066349029541,0.45719295740127563,0.5700771808624268
MAE,2,24,0.4891737401485443,0.699409544467926,0.4595417380332947,0.5535385012626648
MAE,1,96,0.8605884313583374,0.9276790618896484,0.6448208689689636,0.7357637882232666
MAE,2,96,0.9031488299369812,0.9503414034843445,0.6443209052085876,0.7537378668785095
MAE,1,168,0.9181895852088928,0.9582220911979675,0.6743886470794678,0.7590816020965576
MAE,2,168,0.918017566204071,0.9581323266029358,0.6783621907234192,0.7590104937553406
