Loss_function,Iteration,Pred_len,MSE,RMSE,MAE,RSE
MSE,1,24,0.44836655259132385,0.6696017980575562,0.4417327344417572,0.5299475193023682
MSE,2,24,0.45005327463150024,0.6708601117134094,0.44774743914604187,0.5309433937072754
MSE,1,96,0.7422130107879639,0.8615178465843201,0.6124135255813599,0.6832898259162903
MSE,2,96,0.7765764594078064,0.8812357783317566,0.6239685416221619,0.6989285945892334
MSE,1,168,0.8117320537567139,0.9009617567062378,0.6470239162445068,0.7137212157249451
MSE,2,168,0.804768979549408,0.8970891833305359,0.6460970044136047,0.7106534838676453
RMSE,1,24,0.4476352035999298,0.6690554618835449,0.44015392661094666,0.5295150876045227
RMSE,2,24,0.4470727741718292,0.6686350107192993,0.4456162452697754,0.5291823744773865
RMSE,1,96,0.7428922057151794,0.861911952495575,0.6125141382217407,0.6836023926734924
RMSE,2,96,0.7808329463005066,0.8836475014686584,0.6238866448402405,0.7008413672447205
RMSE,1,168,0.8142335414886475,0.9023488759994507,0.6528554558753967,0.714820146560669
RMSE,2,168,0.8040378093719482,0.896681547164917,0.645296037197113,0.710330605506897
MAE,1,24,0.4807750880718231,0.6933794617652893,0.430777907371521,0.548766016960144
MAE,2,24,0.4558711349964142,0.6751822829246521,0.42368245124816895,0.5343641042709351
MAE,1,96,0.7753313779830933,0.8805290460586548,0.5942929983139038,0.6983680129051208
MAE,2,96,0.7856805324554443,0.8863862156867981,0.6012449264526367,0.70301353931427
MAE,1,168,0.8269767165184021,0.9093825817108154,0.6237272620201111,0.720392107963562
MAE,2,168,0.8162832260131836,0.9034839272499084,0.6276787519454956,0.7157192826271057
