date,ES_load_actual_entsoe_transparency,ES_solar_generation_actual,ES_wind_onshore_generation_actual
2016-01-01 00:00:00,22431.0,20.0,3055.0
2016-01-01 01:00:00,21632.0,20.0,3333.0
2016-01-01 02:00:00,20357.0,20.0,3698.0
2016-01-01 03:00:00,19152.0,20.0,4324.0
2016-01-01 04:00:00,18310.0,20.0,5112.0
2016-01-01 05:00:00,18054.0,20.0,5711.0
2016-01-01 06:00:00,18234.0,20.0,6120.0
2016-01-01 07:00:00,18596.0,22.0,6514.0
2016-01-01 08:00:00,18541.0,28.0,6942.0
2016-01-01 09:00:00,18942.0,204.0,6942.0
2016-01-01 10:00:00,20484.0,585.0,7689.0
2016-01-01 11:00:00,21805.0,1187.0,8796.0
2016-01-01 12:00:00,22607.0,1501.0,9597.0
2016-01-01 13:00:00,23178.0,1512.0,10382.0
2016-01-01 14:00:00,23265.0,1423.0,11170.0
2016-01-01 15:00:00,22061.0,1178.0,11281.0
2016-01-01 16:00:00,21481.0,729.0,11683.0
2016-01-01 17:00:00,21830.0,209.0,11540.0
2016-01-01 18:00:00,24291.0,42.0,11469.0
2016-01-01 19:00:00,25234.0,31.0,11716.0
2016-01-01 20:00:00,25881.0,31.0,11613.0
2016-01-01 21:00:00,26149.0,26.0,11623.0
2016-01-01 22:00:00,25610.0,27.0,11825.0
2016-01-01 23:00:00,24000.0,27.0,11429.0
2016-01-02 00:00:00,22113.0,27.0,11465.0
2016-01-02 01:00:00,20515.0,27.0,10872.0
2016-01-02 02:00:00,19284.0,26.0,10737.0
2016-01-02 03:00:00,18637.0,26.0,10613.0
2016-01-02 04:00:00,18352.0,26.0,10314.0
2016-01-02 05:00:00,18574.0,26.0,11012.0
2016-01-02 06:00:00,19751.0,26.0,10849.0
2016-01-02 07:00:00,20857.0,28.0,10442.0
2016-01-02 08:00:00,22156.0,34.0,10438.0
2016-01-02 09:00:00,24125.0,325.0,10407.0
2016-01-02 10:00:00,26337.0,1065.0,10144.0
2016-01-02 11:00:00,27097.0,1537.0,10226.0
2016-01-02 12:00:00,26955.0,1763.0,10886.0
2016-01-02 13:00:00,27195.0,2137.0,11408.0
2016-01-02 14:00:00,27031.0,2190.0,11312.0
2016-01-02 15:00:00,25951.0,1884.0,10799.0
2016-01-02 16:00:00,25209.0,1220.0,9918.0
2016-01-02 17:00:00,25447.0,395.0,8990.0
2016-01-02 18:00:00,27858.0,80.0,8378.0
2016-01-02 19:00:00,28715.0,74.0,8178.0
2016-01-02 20:00:00,29207.0,51.0,7595.0
2016-01-02 21:00:00,29165.0,27.0,7167.0
2016-01-02 22:00:00,27928.0,27.0,7125.0
2016-01-02 23:00:00,26029.0,27.0,7575.0
2016-01-03 00:00:00,23949.0,27.0,8781.0
2016-01-03 01:00:00,22063.0,27.0,9680.0
2016-01-03 02:00:00,20653.0,25.0,10326.0
2016-01-03 03:00:00,19715.0,22.0,10421.0
2016-01-03 04:00:00,19427.0,21.0,10591.0
2016-01-03 05:00:00,19300.0,21.0,10717.0
2016-01-03 06:00:00,19712.0,21.0,10783.0
2016-01-03 07:00:00,20380.0,22.0,11192.0
2016-01-03 08:00:00,21044.0,25.0,11970.0
2016-01-03 09:00:00,22651.0,146.0,12477.0
2016-01-03 10:00:00,24864.0,444.0,12713.0
2016-01-03 11:00:00,26291.0,658.0,13033.0
2016-01-03 12:00:00,26669.0,727.0,13863.0
2016-01-03 13:00:00,27281.0,715.0,14520.0
2016-01-03 14:00:00,27211.0,604.0,14893.0
2016-01-03 15:00:00,25951.0,457.0,15329.0
2016-01-03 16:00:00,25492.0,204.0,15304.0
2016-01-03 17:00:00,25821.0,77.0,15277.0
2016-01-03 18:00:00,27812.0,28.0,15287.0
2016-01-03 19:00:00,28570.0,28.0,15435.0
2016-01-03 20:00:00,29237.0,27.0,15193.0
2016-01-03 21:00:00,29417.0,23.0,14988.0
2016-01-03 22:00:00,28275.0,23.0,14910.0
2016-01-03 23:00:00,26212.0,22.0,14897.0
2016-01-04 00:00:00,23871.0,22.0,14789.0
2016-01-04 01:00:00,21905.0,22.0,14023.0
2016-01-04 02:00:00,20644.0,22.0,13314.0
2016-01-04 03:00:00,20147.0,22.0,12663.0
2016-01-04 04:00:00,20076.0,21.0,12198.0
2016-01-04 05:00:00,20729.0,22.0,11540.0
2016-01-04 06:00:00,22793.0,21.0,11543.0
2016-01-04 07:00:00,25826.0,23.0,10585.0
2016-01-04 08:00:00,28432.0,23.0,9912.0
2016-01-04 09:00:00,30454.0,116.0,9652.0
2016-01-04 10:00:00,31647.0,375.0,9129.0
2016-01-04 11:00:00,31810.0,540.0,8641.0
2016-01-04 12:00:00,31823.0,631.0,9207.0
2016-01-04 13:00:00,32061.0,690.0,9305.0
2016-01-04 14:00:00,31323.0,647.0,9335.0
2016-01-04 15:00:00,30518.0,550.0,9399.0
2016-01-04 16:00:00,30153.0,316.0,9464.0
2016-01-04 17:00:00,30626.0,136.0,9683.0
2016-01-04 18:00:00,31875.0,29.0,10220.0
2016-01-04 19:00:00,32145.0,27.0,10565.0
2016-01-04 20:00:00,32193.0,27.0,10718.0
2016-01-04 21:00:00,31950.0,23.0,10959.0
2016-01-04 22:00:00,30061.0,23.0,11442.0
2016-01-04 23:00:00,27402.0,23.0,11804.0
2016-01-05 00:00:00,25284.0,23.0,12045.0
2016-01-05 01:00:00,23258.0,23.0,11723.0
2016-01-05 02:00:00,21835.0,23.0,10976.0
2016-01-05 03:00:00,21179.0,23.0,10726.0
2016-01-05 04:00:00,21208.0,22.0,9613.0
2016-01-05 05:00:00,21641.0,23.0,9982.0
2016-01-05 06:00:00,23465.0,23.0,10047.0
2016-01-05 07:00:00,26278.0,24.0,9990.0
2016-01-05 08:00:00,28864.0,24.0,10368.0
2016-01-05 09:00:00,30818.0,315.0,10976.0
2016-01-05 10:00:00,31916.0,1255.0,11291.0
2016-01-05 11:00:00,31908.0,1828.0,12463.0
2016-01-05 12:00:00,31580.0,2249.0,13524.0
2016-01-05 13:00:00,31643.0,2271.0,13725.0
2016-01-05 14:00:00,30576.0,1984.0,14220.0
2016-01-05 15:00:00,29562.0,1660.0,14244.0
2016-01-05 16:00:00,29291.0,1026.0,14090.0
2016-01-05 17:00:00,29377.0,310.0,13591.0
2016-01-05 18:00:00,30406.0,65.0,12766.0
2016-01-05 19:00:00,30421.0,49.0,12876.0
2016-01-05 20:00:00,30300.0,46.0,13203.0
2016-01-05 21:00:00,30050.0,23.0,13307.0
2016-01-05 22:00:00,28663.0,23.0,13293.0
2016-01-05 23:00:00,26903.0,23.0,13271.0
2016-01-06 00:00:00,25240.0,23.0,13460.0
2016-01-06 01:00:00,23170.0,23.0,13307.0
2016-01-06 02:00:00,21541.0,23.0,13202.0
2016-01-06 03:00:00,20653.0,23.0,12973.0
2016-01-06 04:00:00,20215.0,23.0,13126.0
2016-01-06 05:00:00,20181.0,25.0,13191.0
2016-01-06 06:00:00,20581.0,32.0,13339.0
2016-01-06 07:00:00,21348.0,37.0,13642.0
