date,FR_load_actual_entsoe_transparency,FR_solar_generation_actual,FR_wind_onshore_generation_actual
2016-01-01 00:00:00,58639.0,0.0,2189.0
2016-01-01 01:00:00,56733.0,0.0,1753.0
2016-01-01 02:00:00,55127.0,0.0,1430.0
2016-01-01 03:00:00,51744.0,0.0,1214.0
2016-01-01 04:00:00,51744.0,0.0,1031.0
2016-01-01 05:00:00,49268.0,0.0,918.0
2016-01-01 06:00:00,49554.0,0.0,878.0
2016-01-01 07:00:00,49774.0,0.0,1003.0
2016-01-01 08:00:00,49450.0,100.0,1173.0
2016-01-01 09:00:00,50017.0,356.0,1500.0
2016-01-01 10:00:00,50017.0,879.0,1836.0
2016-01-01 11:00:00,51739.0,1281.0,2199.0
2016-01-01 12:00:00,53673.0,1424.0,2544.0
2016-01-01 13:00:00,56081.0,1435.0,2768.0
2016-01-01 14:00:00,55253.0,1171.0,3139.0
2016-01-01 15:00:00,51795.0,686.0,3638.0
2016-01-01 16:00:00,51795.0,228.0,3903.0
2016-01-01 17:00:00,51694.0,68.0,4497.0
2016-01-01 18:00:00,58003.0,0.0,5129.0
2016-01-01 19:00:00,58985.0,0.0,5264.0
2016-01-01 20:00:00,57666.0,0.0,5404.0
2016-01-01 21:00:00,55615.0,0.0,5493.0
2016-01-01 22:00:00,56661.0,0.0,5353.0
2016-01-01 23:00:00,57800.0,0.0,5255.0
2016-01-02 00:00:00,54861.0,0.0,5038.0
2016-01-02 01:00:00,52302.0,0.0,4724.0
2016-01-02 02:00:00,50556.0,0.0,4669.0
2016-01-02 03:00:00,47772.0,0.0,4612.0
2016-01-02 04:00:00,46578.0,0.0,4625.0
2016-01-02 05:00:00,47312.0,0.0,4619.0
2016-01-02 06:00:00,48935.0,0.0,4470.0
2016-01-02 07:00:00,50608.0,0.0,4520.0
2016-01-02 08:00:00,52413.0,87.0,4638.0
2016-01-02 09:00:00,54749.0,274.0,4801.0
2016-01-02 10:00:00,56747.0,648.0,5160.0
2016-01-02 11:00:00,58156.0,955.0,5406.0
2016-01-02 12:00:00,60457.0,1171.0,5760.0
2016-01-02 13:00:00,59545.0,1209.0,6000.0
2016-01-02 14:00:00,57474.0,1029.0,6105.0
2016-01-02 15:00:00,55802.0,672.0,6010.0
2016-01-02 16:00:00,55331.0,249.0,5976.0
2016-01-02 17:00:00,58413.0,75.0,5906.0
2016-01-02 18:00:00,62023.0,0.0,5864.0
2016-01-02 19:00:00,62650.0,0.0,5839.0
