date,GB_UKM_load_actual_entsoe_transparency,GB_UKM_solar_generation_actual,GB_UKM_wind_generation_actual,GB_UKM_wind_offshore_generation_actual,GB_UKM_wind_onshore_generation_actual
2016-01-01 00:00:00,34875.0,0.0,7033.0,3034.0,3998.0
2016-01-01 01:00:00,34077.0,0.0,5872.0,2328.0,3544.0
2016-01-01 02:00:00,31925.0,0.0,4558.0,1406.0,3152.0
2016-01-01 03:00:00,29332.0,0.0,3804.0,874.0,2930.0
2016-01-01 04:00:00,27776.0,0.0,3323.0,563.0,2760.0
2016-01-01 05:00:00,27409.0,0.0,3096.0,506.0,2590.0
2016-01-01 06:00:00,28457.0,0.0,3428.0,762.0,2665.0
2016-01-01 07:00:00,29174.0,0.0,3671.0,928.0,2743.0
2016-01-01 08:00:00,31452.0,14.0,4077.0,1072.0,3005.0
2016-01-01 09:00:00,35424.0,131.0,4488.0,1192.0,3296.0
2016-01-01 10:00:00,38071.0,430.0,5250.0,1588.0,3663.0
2016-01-01 11:00:00,39987.0,683.0,6128.0,2143.0,3985.0
2016-01-01 12:00:00,41358.0,756.0,6494.0,2481.0,4013.0
2016-01-01 13:00:00,41434.0,660.0,7339.0,2912.0,4426.0
2016-01-01 14:00:00,41650.0,471.0,8153.0,3242.0,4911.0
2016-01-01 15:00:00,42394.0,256.0,8718.0,3445.0,5273.0
2016-01-01 16:00:00,45092.0,78.0,9322.0,3646.0,5675.0
2016-01-01 17:00:00,46048.0,3.0,9606.0,3714.0,5892.0
2016-01-01 18:00:00,44472.0,0.0,9597.0,3692.0,5905.0
2016-01-01 19:00:00,42510.0,0.0,9256.0,3788.0,5469.0
2016-01-01 20:00:00,40578.0,0.0,9120.0,3788.0,5332.0
2016-01-01 21:00:00,38565.0,0.0,8894.0,3798.0,5097.0
2016-01-01 22:00:00,35924.0,0.0,8809.0,3837.0,4972.0
2016-01-01 23:00:00,32436.0,0.0,8715.0,3857.0,4858.0
2016-01-02 00:00:00,31539.0,0.0,8167.0,3328.0,4839.0
2016-01-02 01:00:00,29542.0,0.0,5536.0,1733.0,3803.0
2016-01-02 02:00:00,27512.0,0.0,2752.0,172.0,2581.0
2016-01-02 03:00:00,25801.0,0.0,2591.0,167.0,2425.0
2016-01-02 04:00:00,25092.0,0.0,8403.0,3243.0,5159.0
2016-01-02 05:00:00,25642.0,0.0,2386.0,164.0,2222.0
2016-01-02 06:00:00,28976.0,0.0,8396.0,3419.0,4977.0
2016-01-02 07:00:00,31354.0,0.0,8145.0,3415.0,4729.0
2016-01-02 08:00:00,34194.0,19.0,7700.0,3162.0,4538.0
2016-01-02 09:00:00,38416.0,109.0,7380.0,3079.0,4301.0
2016-01-02 10:00:00,40709.0,232.0,7388.0,3198.0,4189.0
2016-01-02 11:00:00,41954.0,326.0,7294.0,3218.0,4076.0
2016-01-02 12:00:00,42770.0,342.0,6722.0,3086.0,3636.0
2016-01-02 13:00:00,42884.0,330.0,6372.0,2868.0,3504.0
2016-01-02 14:00:00,42766.0,197.0,5921.0,2735.0,3186.0
2016-01-02 15:00:00,43176.0,112.0,5692.0,2653.0,3039.0
2016-01-02 16:00:00,45484.0,35.0,5785.0,2678.0,3107.0
2016-01-02 17:00:00,48773.0,2.0,5892.0,2725.0,3167.0
2016-01-02 18:00:00,47676.0,0.0,5678.0,2416.0,3262.0
2016-01-02 19:00:00,45406.0,0.0,3483.0,1104.0,2379.0
2016-01-02 20:00:00,42986.0,0.0,1452.0,140.0,1313.0
2016-01-02 21:00:00,40129.0,0.0,1452.0,136.0,1315.0
2016-01-02 22:00:00,37456.0,0.0,5928.0,2542.0,3385.0
2016-01-02 23:00:00,34091.0,0.0,5991.0,2566.0,3425.0
2016-01-03 00:00:00,33091.0,0.0,6277.0,2746.0,3531.0
2016-01-03 01:00:00,30960.0,0.0,5829.0,2428.0,3400.0
2016-01-03 02:00:00,28631.0,0.0,5919.0,2341.0,3578.0
2016-01-03 03:00:00,27188.0,0.0,6212.0,2504.0,3709.0
2016-01-03 04:00:00,26364.0,0.0,6164.0,2372.0,3792.0
2016-01-03 05:00:00,26554.0,0.0,6171.0,2237.0,3934.0
2016-01-03 06:00:00,27779.0,0.0,6115.0,1910.0,4205.0
2016-01-03 07:00:00,30440.0,0.0,6436.0,2166.0,4271.0
2016-01-03 08:00:00,32994.0,6.0,6694.0,2666.0,4027.0
2016-01-03 09:00:00,37311.0,58.0,7312.0,3203.0,4109.0
2016-01-03 10:00:00,40876.0,198.0,7568.0,3186.0,4381.0
2016-01-03 11:00:00,43010.0,355.0,8206.0,3486.0,4720.0
2016-01-03 12:00:00,44676.0,448.0,8449.0,3636.0,4813.0
2016-01-03 13:00:00,44968.0,520.0,8433.0,3640.0,4792.0
2016-01-03 14:00:00,44749.0,619.0,8012.0,3418.0,4594.0
2016-01-03 15:00:00,45207.0,516.0,7781.0,3267.0,4514.0
2016-01-03 16:00:00,48356.0,202.0,7512.0,3112.0,4400.0
2016-01-03 17:00:00,49936.0,14.0,7520.0,3004.0,4516.0
2016-01-03 18:00:00,48788.0,0.0,7261.0,2714.0,4547.0
2016-01-03 19:00:00,46660.0,0.0,6308.0,1964.0,4343.0
2016-01-03 20:00:00,44326.0,0.0,5710.0,1532.0,4178.0
2016-01-03 21:00:00,41454.0,0.0,5139.0,1210.0,3929.0
2016-01-03 22:00:00,38199.0,0.0,4698.0,998.0,3700.0
2016-01-03 23:00:00,34050.0,0.0,4496.0,1126.0,3369.0
2016-01-04 00:00:00,32712.0,0.0,4464.0,1256.0,3208.0
2016-01-04 01:00:00,30992.0,0.0,4463.0,1354.0,3109.0
2016-01-04 02:00:00,29096.0,0.0,4485.0,1365.0,3120.0
2016-01-04 03:00:00,28227.0,0.0,4788.0,1500.0,3289.0
2016-01-04 04:00:00,27730.0,0.0,4836.0,1455.0,3381.0
2016-01-04 05:00:00,29620.0,0.0,4762.0,1474.0,3289.0
2016-01-04 06:00:00,36694.0,0.0,4777.0,1546.0,3231.0
2016-01-04 07:00:00,43044.0,0.0,4673.0,1517.0,3156.0
2016-01-04 08:00:00,46166.0,16.0,4834.0,1600.0,3234.0
2016-01-04 09:00:00,47630.0,146.0,5220.0,1792.0,3428.0
2016-01-04 10:00:00,48456.0,486.0,5624.0,2017.0,3607.0
2016-01-04 11:00:00,48896.0,798.0,5936.0,2154.0,3782.0
2016-01-04 12:00:00,49568.0,876.0,6069.0,2221.0,3848.0
2016-01-04 13:00:00,49452.0,941.0,6354.0,2370.0,3984.0
2016-01-04 14:00:00,49534.0,782.0,6485.0,2344.0,4140.0
2016-01-04 15:00:00,49528.0,446.0,6751.0,2442.0,4309.0
2016-01-04 16:00:00,51808.0,161.0,6942.0,2571.0,4371.0
2016-01-04 17:00:00,54175.0,8.0,7086.0,2548.0,4538.0
2016-01-04 18:00:00,54322.0,0.0,6927.0,2386.0,4540.0
2016-01-04 19:00:00,51967.0,0.0,6882.0,2314.0,4568.0
2016-01-04 20:00:00,48519.0,0.0,6956.0,2212.0,4744.0
2016-01-04 21:00:00,44678.0,0.0,6369.0,2022.0,4347.0
2016-01-04 22:00:00,40632.0,0.0,5712.0,1948.0,3764.0
2016-01-04 23:00:00,36492.0,0.0,5318.0,1883.0,3435.0
2016-01-05 00:00:00,34902.0,0.0,5207.0,1966.0,3241.0
2016-01-05 01:00:00,33066.0,0.0,5185.0,1987.0,3198.0
2016-01-05 02:00:00,31433.0,0.0,5397.0,2202.0,3195.0
2016-01-05 03:00:00,30322.0,0.0,5801.0,2372.0,3428.0
2016-01-05 04:00:00,29828.0,0.0,6272.0,2784.0,3487.0
2016-01-05 05:00:00,31625.0,0.0,6108.0,2815.0,3293.0
2016-01-05 06:00:00,38858.0,0.0,5925.0,2564.0,3362.0
2016-01-05 07:00:00,45637.0,0.0,5798.0,2388.0,3411.0
2016-01-05 08:00:00,47944.0,14.0,6250.0,2382.0,3868.0
2016-01-05 09:00:00,49088.0,130.0,6330.0,2299.0,4031.0
2016-01-05 10:00:00,49406.0,451.0,6207.0,2212.0,3995.0
2016-01-05 11:00:00,49786.0,816.0,5776.0,1982.0,3794.0
2016-01-05 12:00:00,50322.0,1110.0,5314.0,1710.0,3604.0
2016-01-05 13:00:00,49812.0,1068.0,4807.0,1407.0,3400.0
2016-01-05 14:00:00,49844.0,742.0,4525.0,1326.0,3199.0
2016-01-05 15:00:00,50382.0,502.0,4390.0,1244.0,3146.0
2016-01-05 16:00:00,53763.0,197.0,3873.0,988.0,2885.0
2016-01-05 17:00:00,55137.0,10.0,3807.0,1124.0,2683.0
2016-01-05 18:00:00,54760.0,0.0,3527.0,976.0,2551.0
2016-01-05 19:00:00,52263.0,0.0,3450.0,915.0,2535.0
2016-01-05 20:00:00,48963.0,0.0,3494.0,872.0,2622.0
2016-01-05 21:00:00,44993.0,0.0,3416.0,886.0,2530.0
2016-01-05 22:00:00,40593.0,0.0,3541.0,911.0,2630.0
2016-01-05 23:00:00,36608.0,0.0,3400.0,879.0,2521.0
2016-01-06 00:00:00,34590.0,0.0,3413.0,868.0,2545.0
2016-01-06 01:00:00,32921.0,0.0,3425.0,913.0,2512.0
2016-01-06 02:00:00,31483.0,0.0,3268.0,739.0,2529.0
2016-01-06 03:00:00,30482.0,0.0,3408.0,864.0,2545.0
2016-01-06 04:00:00,29968.0,0.0,3342.0,820.0,2523.0
2016-01-06 05:00:00,31583.0,0.0,3272.0,700.0,2573.0
2016-01-06 06:00:00,38708.0,0.0,3136.0,688.0,2448.0
2016-01-06 07:00:00,45702.0,0.0,3237.0,624.0,2613.0
2016-01-06 08:00:00,48010.0,14.0,3553.0,750.0,2803.0
2016-01-06 09:00:00,49089.0,132.0,3518.0,754.0,2765.0
2016-01-06 10:00:00,49286.0,459.0,3499.0,672.0,2827.0
2016-01-06 11:00:00,49552.0,864.0,3732.0,716.0,3016.0
2016-01-06 12:00:00,49610.0,1158.0,4101.0,752.0,3348.0
2016-01-06 13:00:00,49482.0,1156.0,4351.0,660.0,3691.0
2016-01-06 14:00:00,49571.0,868.0,4494.0,547.0,3947.0
2016-01-06 15:00:00,50135.0,494.0,4845.0,644.0,4200.0
2016-01-06 16:00:00,54090.0,140.0,5293.0,786.0,4508.0
