date,GB_UKM_load_actual_entsoe_transparency,GB_UKM_solar_generation_actual,GB_UKM_wind_generation_actual,GB_UKM_wind_offshore_generation_actual,GB_UKM_wind_onshore_generation_actual
2015-10-26 00:00:00,30680.0,0.0,5348.0,1885.0,3463.0
2015-10-26 01:00:00,29218.0,0.0,5194.0,1810.0,3383.0
2015-10-26 02:00:00,28016.0,0.0,4389.0,1756.0,2633.0
2015-10-26 03:00:00,27402.0,0.0,5104.0,1687.0,3417.0
2015-10-26 04:00:00,27490.0,0.0,5206.0,1749.0,3456.0
2015-10-26 05:00:00,29575.0,0.0,5289.0,1787.0,3502.0
2015-10-26 06:00:00,36328.0,76.0,5451.0,2060.0,3391.0
2015-10-26 07:00:00,40768.0,50.0,5282.0,1508.0,3774.0
2015-10-26 08:00:00,45070.0,1328.0,4783.0,1404.0,3379.0
2015-10-26 09:00:00,45972.0,416.0,5688.0,2328.0,3359.0
2015-10-26 10:00:00,45493.0,1938.0,4610.0,1208.0,3402.0
2015-10-26 11:00:00,33548.0,1196.0,4414.0,1479.0,2936.0
2015-10-26 12:00:00,33531.0,1665.0,5073.0,1302.0,3771.0
2015-10-26 13:00:00,45104.0,2060.0,5021.0,1396.0,3624.0
2015-10-26 14:00:00,45054.0,1390.0,4640.0,1307.0,3333.0
2015-10-26 15:00:00,44910.0,736.0,3143.0,708.0,2434.0
2015-10-26 16:00:00,46915.0,438.0,5081.0,1907.0,3174.0
2015-10-26 17:00:00,52661.0,76.0,5359.0,2217.0,3142.0
2015-10-26 18:00:00,52124.0,0.0,5396.0,2356.0,3040.0
2015-10-26 19:00:00,49520.0,0.0,3178.0,1686.0,1491.0
2015-10-26 20:00:00,46098.0,0.0,2328.0,990.0,1338.0
2015-10-26 21:00:00,42422.0,0.0,1378.0,84.0,1294.0
2015-10-26 22:00:00,38296.0,0.0,3544.0,1638.0,1906.0
2015-10-26 23:00:00,34656.0,0.0,3947.0,1515.0,2432.0
2015-10-27 00:00:00,32582.0,0.0,3885.0,1542.0,2342.0
2015-10-27 01:00:00,31152.0,0.0,3532.0,1368.0,2165.0
2015-10-27 02:00:00,29514.0,0.0,3605.0,1257.0,2348.0
2015-10-27 03:00:00,28962.0,30.0,3866.0,1228.0,2638.0
2015-10-27 04:00:00,28566.0,690.0,3579.0,1346.0,2233.0
2015-10-27 05:00:00,31080.0,376.0,3909.0,1258.0,2651.0
2015-10-27 06:00:00,36928.0,7.0,3541.0,1274.0,2268.0
2015-10-27 07:00:00,41510.0,122.0,3089.0,737.0,2352.0
2015-10-27 08:00:00,44960.0,343.0,3635.0,1163.0,2471.0
2015-10-27 09:00:00,46145.0,449.0,4044.0,1287.0,2757.0
2015-10-27 10:00:00,45894.0,970.0,4029.0,1029.0,3000.0
2015-10-27 11:00:00,45554.0,1286.0,2764.0,688.0,2077.0
2015-10-27 12:00:00,45494.0,1478.0,4517.0,1468.0,3048.0
2015-10-27 13:00:00,45254.0,1374.0,4584.0,1552.0,3032.0
2015-10-27 14:00:00,45240.0,1018.0,2793.0,724.0,2069.0
2015-10-27 15:00:00,45422.0,790.0,2818.0,861.0,1957.0
2015-10-27 16:00:00,47925.0,425.0,4629.0,1836.0,2793.0
2015-10-27 17:00:00,51912.0,92.0,4714.0,1940.0,2774.0
2015-10-27 18:00:00,51298.0,2.0,4495.0,1834.0,2662.0
2015-10-27 19:00:00,48736.0,0.0,2469.0,809.0,1660.0
2015-10-27 20:00:00,45618.0,0.0,3528.0,1382.0,2146.0
2015-10-27 21:00:00,42216.0,0.0,3075.0,1143.0,1932.0
2015-10-27 22:00:00,38473.0,0.0,2627.0,862.0,1766.0
2015-10-27 23:00:00,34277.0,0.0,2174.0,522.0,1652.0
2015-10-28 00:00:00,32279.0,0.0,2163.0,438.0,1725.0
2015-10-28 01:00:00,30656.0,0.0,2048.0,432.0,1617.0
2015-10-28 02:00:00,29496.0,0.0,1885.0,342.0,1543.0
2015-10-28 03:00:00,28768.0,1393.0,2085.0,572.0,1513.0
2015-10-28 04:00:00,28846.0,0.0,1571.0,280.0,1291.0
2015-10-28 05:00:00,31178.0,0.0,1576.0,233.0,1343.0
2015-10-28 06:00:00,36816.0,0.0,1904.0,402.0,1503.0
2015-10-28 07:00:00,41305.0,64.0,1927.0,415.0,1512.0
2015-10-28 08:00:00,44918.0,310.0,2067.0,523.0,1544.0
2015-10-28 09:00:00,46056.0,751.0,2321.0,760.0,1561.0
2015-10-28 10:00:00,45121.0,1305.0,2228.0,638.0,1590.0
2015-10-28 11:00:00,45396.0,1584.0,2188.0,592.0,1596.0
2015-10-28 12:00:00,45265.0,1574.0,2457.0,713.0,1744.0
2015-10-28 13:00:00,44396.0,1097.0,2444.0,447.0,1997.0
2015-10-28 14:00:00,43903.0,386.0,2952.0,422.0,2530.0
2015-10-28 15:00:00,43608.0,54.0,2133.0,490.0,1644.0
2015-10-28 16:00:00,46196.0,0.0,3317.0,1091.0,2226.0
2015-10-28 17:00:00,51592.0,0.0,3776.0,1218.0,2558.0
2015-10-28 18:00:00,51036.0,0.0,4533.0,1510.0,3024.0
2015-10-28 19:00:00,48888.0,0.0,4974.0,1706.0,3268.0
2015-10-28 20:00:00,45602.0,0.0,1144.0,39.0,1104.0
2015-10-28 21:00:00,42154.0,0.0,1205.0,42.0,1163.0
2015-10-28 22:00:00,38446.0,0.0,2912.0,709.0,2203.0
2015-10-28 23:00:00,34070.0,0.0,4753.0,1524.0,3230.0
2015-10-29 00:00:00,32234.0,0.0,5513.0,1891.0,3622.0
2015-10-29 01:00:00,30722.0,0.0,5864.0,2088.0,3775.0
2015-10-29 02:00:00,29124.0,0.0,6108.0,2056.0,4053.0
2015-10-29 03:00:00,27642.0,325.0,6750.0,2388.0,4361.0
2015-10-29 04:00:00,24126.0,0.0,6221.0,2142.0,4079.0
2015-10-29 05:00:00,25450.0,0.0,6820.0,2504.0,4316.0
2015-10-29 06:00:00,33845.0,72.0,7384.0,2790.0,4594.0
2015-10-29 07:00:00,37763.0,36.0,7432.0,2676.0,4756.0
2015-10-29 08:00:00,42264.0,392.0,7567.0,3026.0,4541.0
2015-10-29 09:00:00,43596.0,1206.0,6023.0,2660.0,3363.0
