Model,,(S)ARIMA,(S)ARIMA,(S)ARIMA
Metrics,,MSE,MAE,RMSE
Country,Pred_len,,,
DE,24,0.31804717731133425,0.17751032086322896,0.3718508076683977
DE,96,0.770240565932282,0.9939257856170706,0.9324957283576414
DE,168,0.7545897400299968,0.9741049683400875,0.9525227444633326
ES,24,0.383958649602027,0.33642409551974345,0.4626462589445639
ES,96,0.7826188592711844,1.1879884506671663,1.0431503055387994
ES,168,0.6521837982873725,0.8369807117183816,0.8644349033082884
FR,24,0.22940629332528895,0.10729758889264629,0.28298081990153073
FR,96,0.5882180522829797,0.7187440778133217,0.7540886031545634
FR,168,0.8483716452997543,1.1946752933928633,1.0510542635754767
GB,24,0.6610660063403262,0.8785347535010823,0.7605191893557081
GB,96,1.1151652113632264,2.0333630016652813,1.2893892657336568
GB,168,0.8674895933548219,1.3986037317520434,1.0549832564801636
IT,24,0.4811087930179769,0.4316146182789347,0.6100491039255295
IT,96,0.5567169477456919,0.6901435785885578,0.7661557817320146
IT,168,0.6647388691493918,1.0271040720319593,0.9339015020763632
