Model,,(S)ARIMA,(S)ARIMA,(S)ARIMA
Metrics,,MSE,MAE,RMSE
Country,Pred_len,,,
DE,24,0.06471273280831094,0.00734883809215852,0.0774335684107688
DE,96,0.17130594193405113,0.048159477553810684,0.2128545506231614
DE,168,0.14231829152571018,0.03678237949830025,0.18332972249597654
ES,24,0.08252347608110022,0.015996245246036617,0.09740580238036618
ES,96,0.14953770629248483,0.0441610182325507,0.20197149093570263
ES,168,0.165206974557592,0.05460690325059547,0.22420017916244817
FR,24,0.04769242578125498,0.004360998034889887,0.05779794926314058
FR,96,0.14093709036724247,0.03804014440067043,0.18094974558384055
FR,168,0.18713885966086938,0.05704854086984259,0.23332280671219977
GB,24,0.13173452521305234,0.03515393576675545,0.15219343533421228
GB,96,0.22757371677899224,0.08305882449347944,0.2654258122520202
GB,168,0.17323170591568635,0.055977242877199795,0.21095578733485087
IT,24,0.09499531997743567,0.01688284111160483,0.11912602188149164
IT,96,0.12110968208398894,0.03235994884384767,0.16938306063549557
IT,168,0.1304208313856968,0.03878963352183389,0.1797366185093557
