Model,,(S)ARIMA,(S)ARIMA,(S)ARIMA
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.00734883809215848,0.07743356841076876,0.0647127328083109
DE,96,0.04815947755381062,0.21285455062316133,0.17130594193405108
DE,168,0.0367823794983002,0.1833297224959765,0.14231829152571013
ES,24,0.0159962452460366,0.09740580238036617,0.0825234760811002
ES,96,0.044161018232550635,0.20197149093570257,0.1495377062924848
ES,168,0.054606903250595425,0.22420017916244817,0.16520697455759192
FR,24,0.0043609980348898,0.05779794926314053,0.04769242578125493
FR,96,0.03804014440067036,0.1809497455838405,0.14093709036724242
FR,168,0.05704854086984253,0.23332280671219974,0.18713885966086932
GB,24,0.03515393576675542,0.15219343533421223,0.1317345252130523
GB,96,0.0830588244934794,0.26542581225202017,0.22757371677899219
GB,168,0.05597724287719976,0.2109557873348508,0.17323170591568632
IT,24,0.016882841111604766,0.11912602188149161,0.09499531997743564
IT,96,0.0323599488438476,0.1693830606354955,0.12110968208398891
IT,168,0.03878963352183384,0.17973661850935566,0.13042083138569674
