Model,,Informer,Informer,Informer
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.02475,0.1573,0.1011
DE,96,0.0509,0.22560000000000002,0.15034999999999998
DE,168,0.06470000000000001,0.25375000000000003,0.17325000000000002
ES,24,0.02025,0.14225,0.08554999999999999
ES,96,0.0498,0.2231,0.13815
ES,168,0.05735,0.23925000000000002,0.1505
FR,24,0.01295,0.11385,0.0659
FR,96,0.0216,0.14695,0.0885
FR,168,0.023399999999999997,0.15295,0.09445
GB,24,0.0438,0.20929999999999999,0.13645000000000002
GB,96,0.07105,0.26649999999999996,0.18535000000000001
GB,168,0.07250000000000001,0.26895,0.1871
IT,24,0.0113,0.1062,0.06295
IT,96,0.0212,0.1456,0.08915000000000001
IT,168,0.02275,0.15095,0.09385
