Model,,Informer,Informer,Informer
Metrics,,MSE,RMSE,MAE
Country,Pred_len,,,
DE,24,0.0494,0.2222,0.135
DE,96,0.0695,0.26354999999999995,0.1749
DE,168,0.07555,0.27485000000000004,0.18580000000000002
ES,24,0.01985,0.14075,0.09140000000000001
ES,96,0.0401,0.20024999999999998,0.13119999999999998
ES,168,0.05155,0.22705,0.1475
FR,24,0.07135,0.26715,0.1403
FR,96,0.07935,0.2817,0.1583
FR,168,0.07085,0.2651,0.156
GB,24,0.04645,0.21545,0.14005
GB,96,0.07239999999999999,0.269,0.18514999999999998
GB,168,0.0811,0.28459999999999996,0.19845000000000002
IT,24,0.06755,0.25995,0.14125
IT,96,0.04905,0.2128,0.13045
IT,168,0.05485,0.22805,0.1444
